Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 128.0 57 131 266 NA NA 132 585 618 NA NA 539 474 1686 NA NA 919 502 1876 NA NA
1558299600.0 129.0 57 189 271 NA NA 140 585 586 NA NA 545 449 1722 NA NA 845 342 1933 NA NA
1558299600.0 13.0 NA 121 292 0 NA NA 559 607 0 NA NA 750 4359 820 NA NA 1151 4388 1076 NA
1558299600.0 130.0 56 171 280 NA NA 132 582 629 NA NA 597 448 1750 NA NA 1078 353 1879 NA NA
1558299600.0 1301.17 67 181 236 NA NA 141 602 541 NA NA 2126 1156 2643 NA NA 1901 783 3594 NA NA
1558299600.0 1302.0 97 147 233 NA NA 174 600 575 NA NA 5692 714 2219 NA NA 3303 470 1976 NA NA
1558299600.0 1302.17 66 185 235 NA NA 142 600 671 NA NA 3044 699 1548 NA NA 2003 444 1486 NA NA
1558299600.0 1302.18 68 252 202 NA NA 139 675 619 NA NA 3122 1769 1147 NA NA 1786 1490 1152 NA NA
1558299600.0 1303.0 76 183 219 NA NA 157 599 586 NA NA 5883 461 1796 NA NA 2907 399 1487 NA NA
1558299600.0 1303.17 71 183 242 NA NA 148 599 614 NA NA 6073 634 1904 NA NA 3253 429 1515 NA NA
1558299600.0 1304.18 69 244 236 153 NA 140 586 635 237 NA 4354 2924 1474 1293 NA 3258 3133 1569 1798 NA
1558299600.0 1304.181 66 248 206 142 NA 143 631 635 235 NA 2362 1702 1069 715 NA 1578 1783 1171 765 NA
1558299600.0 1306.0 NA 189 334 0 NA NA 559 629 0 NA NA 490 1819 601 NA NA 583 1997 828 NA
1558299600.0 1309.0 NA 143 352 0 NA NA 558 694 0 NA NA 556 2016 625 NA NA 731 1963 747 NA
1558299600.0 131.0 57 166 289 NA NA 132 584 638 NA NA 1036 469 1757 NA NA 1359 444 1950 NA NA
1558299600.0 1310.0 NA 155 362 0 NA NA 606 713 0 NA NA 582 1996 586 NA NA 395 1832 634 NA
1558299600.0 1312.0 NA 151 370 0 NA NA 609 689 0 NA NA 638 2136 599 NA NA 431 2037 658 NA
1558299600.0 1314.0 NA 154 366 0 NA NA 562 677 0 NA NA 708 2072 673 NA NA 475 1885 719 NA
1558299600.0 1315.0 NA 147 340 0 NA NA 562 653 0 NA NA 964 2898 882 NA NA 1108 2928 1066 NA
1558299600.0 1316.0 NA 150 359 0 NA NA 607 665 0 NA NA 557 2056 605 NA NA 394 1994 715 NA
1558299600.0 1318.0 NA 151 357 0 NA NA 561 641 0 NA NA 648 1901 579 NA NA 449 1938 748 NA
1558299600.0 1319.0 NA 150 345 0 NA NA 516 688 0 NA NA 851 3207 799 NA NA 750 3994 875 NA
1558299600.0 132.0 78 146 288 NA NA 209 585 600 NA NA 2548 534 1901 NA NA 1716 472 1970 NA NA
1558299600.0 1321.0 NA 147 339 0 NA NA 605 612 0 NA NA 724 3104 953 NA NA 772 3254 1369 NA
1558299600.0 1322.0 NA 183 345 0 NA NA 605 683 0 NA NA 507 1900 594 NA NA 976 2023 692 NA
1558299600.0 1323.0 NA 149 342 0 NA NA 607 667 0 NA NA 562 2032 575 NA NA 392 2035 673 NA
1558299600.0 1324.0 NA 169 345 0 NA NA 516 667 0 NA NA 551 2081 621 NA NA 464 2146 1025 NA
1558299600.0 1325.2 NA 154 358 0 NA NA 605 689 0 NA NA 562 2084 616 NA NA 1249 2180 759 NA
1558299600.0 1325.4 NA 177 349 0 NA NA 560 673 0 NA NA 570 2116 625 NA NA 414 2075 791 NA
1558299600.0 1325.5 NA 167 0 NA NA NA 269 0 NA NA NA 6576 278 NA NA NA 8093 495 NA NA
1558299600.0 1325.51 NA 161 0 NA NA NA 275 0 NA NA NA 1925 194 NA NA NA 3590 536 NA NA
1558299600.0 1325.6 NA 192 NA NA NA NA 344 NA NA NA NA 3602 NA NA NA NA 2588 NA NA NA
1558299600.0 1325.7 NA 191 0 NA NA NA 331 0 NA NA NA 4175 192 NA NA NA 5466 649 NA NA
1558299600.0 1325.8 NA 206 0 NA NA NA 321 0 NA NA NA 5717 187 NA NA NA 3988 232 NA NA
1558299600.0 1326.0 NA 145 343 0 NA NA 561 671 0 NA NA 507 1895 608 NA NA 902 2035 913 NA
1558299600.0 1328.0 NA 154 367 0 NA NA 563 678 0 NA NA 640 2030 626 NA NA 454 1853 683 NA
1558299600.0 1329.0 NA 169 348 0 NA NA 604 686 0 NA NA 549 1926 613 NA NA 1007 2000 720 NA
1558299600.0 1329.1 NA 179 0 NA NA NA 303 0 NA NA NA 8075 266 NA NA NA 9390 482 NA NA
1558299600.0 133.0 81 141 289 NA NA 206 585 646 NA NA 3950 529 2100 NA NA 1862 380 2124 NA NA
1558299600.0 1330.0 NA 151 395 0 NA NA 561 673 0 NA NA 564 1991 618 NA NA 849 2019 891 NA
1558299600.0 1331.0 NA 152 350 0 NA NA 604 653 0 NA NA 525 1925 611 NA NA 1078 2258 760 NA
1558299600.0 1332.0 NA 153 359 0 NA NA 563 690 0 NA NA 631 2234 634 NA NA 424 2134 679 NA
1558299600.0 1333.0 NA 153 363 0 NA NA 605 664 0 NA NA 600 1919 600 NA NA 422 1860 714 NA
1558299600.0 1335.0 NA 161 361 0 NA NA 562 669 0 NA NA 615 2280 571 NA NA 399 2207 606 NA
