Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558342800.0 1.0 76 105 198 NA NA 201 585 576 NA NA 1095 538 1443 NA NA 1930 1151 2792 NA NA
1558342800.0 1001.2 NA 390 136 0 NA NA 764 210 0 NA NA 14944 1790 133 NA NA 7757 2226 255 NA
1558342800.0 1002.0 NA 318 77 NA NA NA 628 133 NA NA NA 3387 426 NA NA NA 3941 382 NA NA
1558342800.0 1003.0 NA 269 0 NA NA NA 591 0 NA NA NA 3302 619 NA NA NA 2337 743 NA NA
1558342800.0 101.0 82 NA NA NA NA 162 NA NA NA NA 893 NA NA NA NA 2323 NA NA NA NA
1558342800.0 102.0 94 NA NA NA NA 162 NA NA NA NA 788 NA NA NA NA 1321 NA NA NA NA
1558342800.0 103.0 41 0 0 NA NA 98 0 0 NA NA 596 260 1755 NA NA 3519 822 3155 NA NA
1558342800.0 1040.0 NA 361 25 0 NA NA 773 73 0 NA NA 12142 156 155 NA NA 5514 293 454 NA
1558342800.0 10424.0 NA 176 377 0 NA NA 604 759 0 NA NA 859 2587 1179 NA NA 1597 6906 2345 NA
1558342800.0 106.0 40 0 0 NA NA 98 0 0 NA NA 549 254 1735 NA NA 1954 732 3039 NA NA
1558342800.0 10824.1 NA 284 206 0 NA NA 682 370 0 NA NA 2284 1059 427 NA NA 5000 1479 1021 NA
1558342800.0 10824.5 NA 288 165 0 NA NA 684 263 0 NA NA 2345 750 187 NA NA 4436 2058 555 NA
1558342800.0 110.0 59 118 282 NA NA 130 537 626 NA NA 661 557 2112 NA NA 2219 1443 4648 NA NA
1558342800.0 111.0 72 110 292 NA NA 195 584 595 NA NA 1366 458 2015 NA NA 2098 1188 3365 NA NA
1558342800.0 112.0 83 134 292 NA NA 206 537 596 NA NA 2018 557 2073 NA NA 2948 1056 3848 NA NA
1558342800.0 11224.6 NA 276 410 0 NA NA 637 747 0 NA NA 2143 2720 2038 NA NA 3415 3716 2199 NA
1558342800.0 114.0 80 110 281 NA NA 201 584 610 NA NA 2076 572 2084 NA NA 2620 792 3713 NA NA
1558342800.0 117.0 83 138 286 NA NA 211 585 653 NA NA 3286 584 2158 NA NA 3739 996 3177 NA NA
1558342800.0 11825.0 NA 431 712 0 159 NA 674 1136 0 266 NA 4887 5711 1085 771 NA 5650 3788 1162 878
1558342800.0 121.0 77 138 293 NA NA 210 539 660 NA NA 3058 581 2226 NA NA 2043 791 2794 NA NA
1558342800.0 122.0 40 0 0 NA NA 98 0 0 NA NA 539 264 1721 NA NA 1594 827 3806 NA NA
1558342800.0 123.1 333 NA NA NA NA 849 NA NA NA NA 1507 NA NA NA NA 1705 NA NA NA NA
1558342800.0 123.2 324 NA NA NA NA 849 NA NA NA NA 1683 NA NA NA NA 1523 NA NA NA NA
1558342800.0 123.3 246 NA NA NA NA 850 NA NA NA NA 1339 NA NA NA NA 1768 NA NA NA NA
1558342800.0 124.1 313 NA NA NA NA 808 NA NA NA NA 1321 NA NA NA NA 1695 NA NA NA NA
1558342800.0 124.2 335 NA NA NA NA 853 NA NA NA NA 1456 NA NA NA NA 1421 NA NA NA NA
1558342800.0 124.4 306 NA NA NA NA 852 NA NA NA NA 1348 NA NA NA NA 1956 NA NA NA NA
1558342800.0 124.5 316 NA NA NA NA 850 NA NA NA NA 1374 NA NA NA NA 1390 NA NA NA NA
1558342800.0 124.6 245 NA NA NA NA 851 NA NA NA NA 1316 NA NA NA NA 1731 NA NA NA NA
1558342800.0 126.0 58 140 279 NA NA 165 583 583 NA NA 1220 519 1874 NA NA 1937 1063 2359 NA NA
1558342800.0 127.0 58 103 280 NA NA 134 583 618 NA NA 926 525 1970 NA NA 1929 1078 3800 NA NA
1558342800.0 129.0 58 122 271 NA NA 135 584 624 NA NA 686 510 1914 NA NA 2923 812 2459 NA NA
1558342800.0 1301.17 61 171 222 NA NA 139 554 626 NA NA 1305 787 1493 NA NA 2033 997 2158 NA NA
1558342800.0 1302.0 85 167 219 NA NA 173 598 550 NA NA 3233 573 1727 NA NA 2295 971 2680 NA NA
1558342800.0 1302.17 66 183 236 NA NA 139 600 551 NA NA 3343 849 1830 NA NA 2287 992 2827 NA NA
1558342800.0 1304.18 64 246 196 149 NA 139 629 631 231 NA 2553 1927 1275 846 NA 2808 2799 2385 1719 NA
1558342800.0 1310.0 NA 159 344 0 NA NA 561 680 0 NA NA 587 2310 765 NA NA 817 4644 1671 NA
1558342800.0 1315.0 NA 139 336 0 NA NA 561 686 0 NA NA 603 2066 696 NA NA 2367 3351 1056 NA
1558342800.0 1317.0 NA 145 338 0 NA NA 604 672 0 NA NA 563 1968 631 NA NA 969 2528 760 NA
1558342800.0 1319.0 NA 136 340 0 NA NA 604 629 0 NA NA 566 2157 728 NA NA 1387 3601 1337 NA
1558342800.0 132.0 78 119 282 NA NA 209 583 563 NA NA 2677 602 2198 NA NA 2864 1076 3875 NA NA
1558342800.0 1321.0 NA 137 329 0 NA NA 603 690 0 NA NA 599 2160 762 NA NA 2393 3678 1970 NA
1558342800.0 1325.5 NA 161 0 NA NA NA 282 0 NA NA NA 4628 215 NA NA NA 7362 1513 NA NA
1558342800.0 1325.51 NA 158 0 NA NA NA 275 0 NA NA NA 1782 179 NA NA NA 2227 621 NA NA
1558342800.0 1325.6 NA 193 NA NA NA NA 325 NA NA NA NA 3531 NA NA NA NA 3433 NA NA NA
1558342800.0 1325.7 NA 192 0 NA NA NA 326 0 NA NA NA 3803 162 NA NA NA 2692 521 NA NA
1558342800.0 1325.8 NA 192 0 NA NA NA 327 0 NA NA NA 4210 191 NA NA NA 4441 884 NA NA
1558342800.0 1329.0 NA 139 338 0 NA NA 605 678 0 NA NA 616 2240 757 NA NA 2089 3371 1425 NA
1558342800.0 1329.1 NA 172 0 NA NA NA 323 0 NA NA NA 5559 212 NA NA NA 7908 1751 NA NA
1558342800.0 134.706 NA 37 349 0 NA NA 98 632 0 NA NA 277 6982 842 NA NA 786 4504 1289 NA
1558342800.0 134.807 NA 104 365 0 NA NA 234 739 0 NA NA 1466 8528 898 NA NA 1883 5142 1882 NA
1558342800.0 135.13 340 0 NA NA NA 804 0 NA NA NA 1442 308 NA NA NA 1625 584 NA NA NA
1558342800.0 135.8 143 NA NA NA NA 267 NA NA NA NA 443 NA NA NA NA 741 NA NA NA NA
1558342800.0 136.726 NA 93 354 0 NA NA 179 729 0 NA NA 680 8652 970 NA NA 1408 5388 2076 NA
1558342800.0 136.728 NA 143 382 0 NA NA 289 775 0 NA NA 3723 9590 861 NA NA 4165 4587 1367 NA
1558342800.0 136.729 NA 83 352 0 NA NA 155 648 0 NA NA 604 8429 913 NA NA 1979 4419 1661 NA
1558342800.0 136.732 NA 88 335 0 NA NA 168 701 0 NA NA 521 6831 891 NA NA 1362 4761 1431 NA
1558342800.0 136.734 NA 85 345 0 NA NA 159 705 0 NA NA 853 8607 898 NA NA 1895 4626 1381 NA
1558342800.0 136.736 NA 87 357 0 NA NA 160 740 0 NA NA 685 11927 894 NA NA 1016 5466 1387 NA
1558342800.0 136.738 NA 91 352 0 NA NA 165 675 0 NA NA 816 13488 937 NA NA 1536 11921 3042 NA
1558342800.0 136.739 NA 83 382 0 NA NA 154 745 0 NA NA 668 14807 875 NA NA 1937 5701 1863 NA
1558342800.0 136.741 NA 83 370 0 NA NA 166 756 0 NA NA 702 13060 906 NA NA 995 5225 1206 NA
1558342800.0 136.743 NA 94 384 0 NA NA 163 748 0 NA NA 752 11959 879 NA NA 968 5997 1150 NA
1558342800.0 136.744 NA 93 382 0 NA NA 160 821 0 NA NA 680 13832 899 NA NA 876 10380 1573 NA
1558342800.0 136.745 NA 86 344 0 NA NA 157 722 0 NA NA 623 9618 917 NA NA 1848 6063 1528 NA
1558342800.0 136.746 NA 84 350 0 NA NA 159 729 0 NA NA 863 12818 901 NA NA 1962 6547 1630 NA
1558342800.0 136.749 NA 90 364 0 NA NA 161 760 0 NA NA 864 13571 948 NA NA 1029 7034 1807 NA
1558342800.0 136.75 NA 86 386 0 NA NA 162 803 0 NA NA 701 15108 834 NA NA 1001 6606 1003 NA
1558342800.0 136.752 NA 85 362 0 NA NA 165 720 0 NA NA 782 13367 916 NA NA 2219 7532 1437 NA
1558342800.0 136.753 NA 86 367 0 NA NA 166 693 0 NA NA 647 13263 929 NA NA 1137 6555 1711 NA
1558342800.0 136.756 NA 85 350 0 NA NA 159 722 0 NA NA 658 9273 916 NA NA 1684 6238 1656 NA
1558342800.0 136.759 NA 85 385 0 NA NA 154 793 0 NA NA 608 16223 893 NA NA 844 6170 1016 NA
1558342800.0 136.7611 NA 179 0 NA NA NA 282 0 NA NA NA 5192 178 NA NA NA 9282 447 NA NA
1558342800.0 136.762 NA 88 406 0 NA NA 174 814 0 NA NA 693 22247 869 NA NA 991 8510 1026 NA
1558342800.0 136.765 NA 87 392 0 NA NA 156 713 0 NA NA 761 14809 879 NA NA 1568 7842 1206 NA
