Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1558216800.0 103.0 44 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 684 252 1402 NA NA NA NA NA 636 406 1635 NA NA NA NA NA
1558216800.0 1030.0 NA 183 43 0 NA NA NA NA NA 325 86 0 NA NA NA NA NA 14193 324 93 NA NA NA NA NA 5271 395 583 NA NA NA NA
1558216800.0 10424.0 NA 241 683 0 NA NA NA NA NA 472 849 0 NA NA NA NA NA 1721 2665 1939 NA NA NA NA NA 3139 2486 2047 NA NA NA NA
1558216800.0 105.0 93 86 27 NA NA NA NA NA 186 368 66 NA NA NA NA NA 1945 613 134 NA NA NA NA NA 1928 713 206 NA NA NA NA NA
1558216800.0 106.0 43 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 625 288 1400 NA NA NA NA NA 620 409 1643 NA NA NA NA NA
1558216800.0 107.0 99 90 436 NA NA NA NA NA 184 368 557 NA NA NA NA NA 8516 699 2340 NA NA NA NA NA 5898 846 2446 NA NA NA NA NA
1558216800.0 108.0 107 91 443 NA NA NA NA NA 194 368 560 NA NA NA NA NA 9566 784 2549 NA NA NA NA NA 6919 961 2713 NA NA NA NA NA
1558216800.0 10823.0 71 196 375 84 0 NA NA NA 125 478 826 134 0 NA NA NA 2325 1951 2908 470 2287 NA NA NA 2010 3807 3686 723 3565 NA NA NA
1558216800.0 10824.0 78 214 690 96 0 NA NA NA 136 471 856 146 0 NA NA NA 5860 2243 3058 508 2273 NA NA NA 2813 4412 2848 688 2800 NA NA NA
1558216800.0 10825.0 73 207 680 94 0 NA NA NA 130 479 835 136 0 NA NA NA 3493 1641 2580 405 1951 NA NA NA 1792 1960 2521 562 2428 NA NA NA
1558216800.0 10826.0 82 225 683 95 0 NA NA NA 138 478 849 146 0 NA NA NA 8654 2303 3611 495 2247 NA NA NA 3737 3126 3229 688 3241 NA NA NA
1558216800.0 10842.0 59 192 665 95 0 NA NA NA 112 486 803 146 0 NA NA NA 1064 1346 2402 427 1865 NA NA NA 2121 2363 2787 599 1976 NA NA NA
