Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558126800.0 10824.1 NA 218 192 0 NA NA NA 307 234 0 NA NA NA 9285 4332 1474 NA NA NA 13795 4597 1552 NA NA
1558126800.0 10824.5 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10824.6 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10824.7 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10824.8 NA 222 374 0 99 177 NA 307 424 0 132 232 NA 9649 10758 8452 1941 2334 NA 17273 11096 8528 2062 2493
1558126800.0 10825.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10826.0 NA 225 368 0 95 176 NA 303 423 0 129 232 NA 9782 11860 8416 1941 2413 NA 15212 12185 8522 2041 2570
1558126800.0 10842.7 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10859.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 10871.0 NA 220 360 0 86 174 NA 295 414 0 119 232 NA 8860 9878 8452 1830 2336 NA 13394 10279 8536 1984 2456
1558126800.0 109.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 11.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 110.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1102.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11024.2 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11024.3 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11024.6 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11025.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 111.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 112.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 11224.0 NA 217 363 0 NA NA NA 298 418 0 NA NA NA 9139 10445 8455 NA NA NA 14302 10702 8546 NA NA
1558126800.0 11224.6 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 113.0 0 NA NA NA NA NA 0 NA NA NA NA NA 826 NA NA NA NA NA 6245 NA NA NA NA NA
1558126800.0 114.0 0 NA NA NA NA NA 0 NA NA NA NA NA 728 NA NA NA NA NA 3166 NA NA NA NA NA
1558126800.0 115.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 116.0 0 NA NA NA NA NA 0 NA NA NA NA NA 808 NA NA NA NA NA 5817 NA NA NA NA NA
1558126800.0 11623.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11624.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11626.0 NA 91 NA NA NA NA NA 171 NA NA NA NA NA 1455 NA NA NA NA NA 6024 NA NA NA NA
1558126800.0 11642.0 NA 114 323 0 80 NA NA 195 379 0 112 NA NA 3065 8270 4562 1025 NA NA 6439 8661 4644 1149 NA
1558126800.0 117.0 0 NA NA NA NA NA 0 NA NA NA NA NA 712 NA NA NA NA NA 3924 NA NA NA NA NA
1558126800.0 118.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 11824.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 11825.0 NA 86 NA NA NA NA NA 169 NA NA NA NA NA 1390 NA NA NA NA NA 5709 NA NA NA NA
1558126800.0 12.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 120.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 12024.0 NA 114 324 0 NA NA NA 196 383 0 NA NA NA 3120 9005 4606 NA NA NA 6701 9741 4985 NA NA
1558126800.0 121.0 0 NA NA NA NA NA 0 NA NA NA NA NA 748 NA NA NA NA NA 4340 NA NA NA NA NA
1558126800.0 122.0 60 64 NA NA NA NA 112 104 NA NA NA NA 3396 999 NA NA NA NA 10297 3150 NA NA NA NA
1558126800.0 123.1 0 NA NA NA NA NA 0 NA NA NA NA NA 3542 NA NA NA NA NA 8864 NA NA NA NA NA
1558126800.0 124.1 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 124.2 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 124.4 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 124.6 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 125.0 0 NA NA NA NA NA 0 NA NA NA NA NA 793 NA NA NA NA NA 3768 NA NA NA NA NA
1558126800.0 126.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 127.0 0 NA NA NA NA NA 0 NA NA NA NA NA 713 NA NA NA NA NA 3907 NA NA NA NA NA
1558126800.0 128.0 0 NA NA NA NA NA 0 NA NA NA NA NA 749 NA NA NA NA NA 5332 NA NA NA NA NA
1558126800.0 129.0 0 NA NA NA NA NA 0 NA NA NA NA NA 704 NA NA NA NA NA 3914 NA NA NA NA NA
1558126800.0 13.0 NA 67 NA NA NA NA NA 147 NA NA NA NA NA 1229 NA NA NA NA NA 5634 NA NA NA NA
1558126800.0 130.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1301.0 0 NA NA NA NA NA 0 NA NA NA NA NA 681 NA NA NA NA NA 4269 NA NA NA NA NA
1558126800.0 1302.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1302.17 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1302.18 0 NA NA NA NA NA 0 NA NA NA NA NA 775 NA NA NA NA NA 3442 NA NA NA NA NA
1558126800.0 1303.17 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1304.18 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 1304.181 0 NA NA NA NA NA 0 NA NA NA NA NA 750 NA NA NA NA NA 3187 NA NA NA NA NA
1558126800.0 1306.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1307.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1308.0 NA 66 NA NA NA NA NA 147 NA NA NA NA NA 1073 NA NA NA NA NA 3879 NA NA NA NA
1558126800.0 1309.0 NA 70 NA NA NA NA NA 149 NA NA NA NA NA 1093 NA NA NA NA NA 3907 NA NA NA NA
1558126800.0 131.0 0 NA NA NA NA NA 0 NA NA NA NA NA 739 NA NA NA NA NA 4347 NA NA NA NA NA
1558126800.0 1310.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1311.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1312.0 NA 74 NA NA NA NA NA 154 NA NA NA NA NA 1103 NA NA NA NA NA 3633 NA NA NA NA
1558126800.0 1313.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1315.0 NA 69 NA NA NA NA NA 150 NA NA NA NA NA 1101 NA NA NA NA NA 3840 NA NA NA NA
1558126800.0 1317.0 NA 67 NA NA NA NA NA 148 NA NA NA NA NA 1109 NA NA NA NA NA 3789 NA NA NA NA
1558126800.0 1318.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1319.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 132.0 0 NA NA NA NA NA 0 NA NA NA NA NA 801 NA NA NA NA NA 5815 NA NA NA NA NA
1558126800.0 1320.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1321.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1322.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.1 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.2 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.3 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.4 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1325.51 NA 144 0 NA NA NA NA 230 0 NA NA NA NA 6943 692 NA NA NA NA 8918 812 NA NA NA
1558126800.0 1325.7 NA 205 0 NA NA NA NA 301 0 NA NA NA NA 17166 537 NA NA NA NA 19933 590 NA NA NA
1558126800.0 1325.8 NA 202 0 NA NA NA NA 300 0 NA NA NA NA 16293 539 NA NA NA NA 18428 600 NA NA NA
1558126800.0 1326.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1327.0 NA 68 NA NA NA NA NA 149 NA NA NA NA NA 1164 NA NA NA NA NA 4399 NA NA NA NA
1558126800.0 1329.0 NA 68 NA NA NA NA NA 148 NA NA NA NA NA 1150 NA NA NA NA NA 4863 NA NA NA NA
1558126800.0 1329.1 NA 191 0 NA NA NA NA 288 0 NA NA NA NA 15840 545 NA NA NA NA 19303 605 NA NA NA
1558126800.0 133.0 0 NA NA NA NA NA 0 NA NA NA NA NA 685 NA NA NA NA NA 4269 NA NA NA NA NA
1558126800.0 1330.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1331.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1333.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1334.0 NA 68 NA NA NA NA NA 148 NA NA NA NA NA 1126 NA NA NA NA NA 4230 NA NA NA NA
1558126800.0 1335.0 NA 68 NA NA NA NA NA 148 NA NA NA NA NA 1136 NA NA NA NA NA 4846 NA NA NA NA
1558126800.0 1336.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1337.0 NA 78 NA NA NA NA NA 154 NA NA NA NA NA 1236 NA NA NA NA NA 5662 NA NA NA NA
1558126800.0 1338.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.701 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.702 NA 32 277 0 NA NA NA 109 330 0 NA NA NA 1491 29650 2736 NA NA NA 4174 30309 2806 NA NA
1558126800.0 134.703 NA 40 NA NA NA NA NA 113 NA NA NA NA NA 1464 NA NA NA NA NA 5404 NA NA NA NA
1558126800.0 134.704 NA 39 NA NA NA NA NA 109 NA NA NA NA NA 1462 NA NA NA NA NA 5380 NA NA NA NA
1558126800.0 134.706 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.707 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.708 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.709 NA 38 448 0 NA NA NA 112 507 0 NA NA NA 1490 29064 2848 NA NA NA 4195 29994 2919 NA NA
1558126800.0 134.801 NA 38 NA NA NA NA NA 113 NA NA NA NA NA 1440 NA NA NA NA NA 5454 NA NA NA NA
1558126800.0 134.802 NA 32 282 0 NA NA NA 110 334 0 NA NA NA 1702 35815 2658 NA NA NA 5574 36460 2735 NA NA
1558126800.0 134.803 NA 41 281 0 NA NA NA 113 333 0 NA NA NA 1655 33503 2726 NA NA NA 5693 34698 2821 NA NA
1558126800.0 134.804 NA 40 NA NA NA NA NA 113 NA NA NA NA NA 1683 NA NA NA NA NA 5777 NA NA NA NA
1558126800.0 134.805 NA 41 NA NA NA NA NA 112 NA NA NA NA NA 1679 NA NA NA NA NA 5800 NA NA NA NA
1558126800.0 134.806 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.807 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.808 NA 120 NA NA NA NA NA 195 NA NA NA NA NA 7471 NA NA NA NA NA 13913 NA NA NA NA
1558126800.0 134.809 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.81 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.811 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.812 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.813 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.901 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.902 NA 34 278 0 NA NA NA 112 331 0 NA NA NA 1629 27714 2733 NA NA NA 4749 28598 2820 NA NA
1558126800.0 134.903 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.904 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.905 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.906 NA 33 281 0 NA NA NA 112 332 0 NA NA NA 1645 29486 2772 NA NA NA 5488 30363 2833 NA NA
1558126800.0 134.907 NA 121 303 0 NA NA NA 194 355 0 NA NA NA 5844 27653 2931 NA NA NA 12613 28102 3012 NA NA
1558126800.0 134.908 NA 123 306 0 NA NA NA 197 358 0 NA NA NA 5877 27730 2880 NA NA NA 11275 28198 2941 NA NA
1558126800.0 134.909 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.91 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.911 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.912 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.99602 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 134.99603 NA 38 0 NA NA NA NA 112 0 NA NA NA NA 1694 0 NA NA NA NA 5804 0 NA NA NA
1558126800.0 134.99901 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1340.0 NA 94 295 0 NA NA NA 175 349 0 NA NA NA 2243 7456 2639 NA NA NA 6791 7883 2886 NA NA
1558126800.0 1341.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1343.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1344.0 NA 68 NA NA NA NA NA 148 NA NA NA NA NA 1114 NA NA NA NA NA 3837 NA NA NA NA
1558126800.0 1347.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1558126800.0 1348.0 NA 68 NA NA NA NA NA 149 NA NA NA NA NA 1165 NA NA NA NA NA 4405 NA NA NA NA
1558126800.0 135.13 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 135.2 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1558126800.0 135.3 259 0 122 NA NA NA 304 0 177 NA NA NA 4420 1127 2534 NA NA NA 6475 1242 2732 NA NA NA
