Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1558429200.0 10.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 10024.2 NA 0 NA 0 NA 0 NA 0
1558429200.0 103.0 0 NA 0 NA 872 NA 4287 NA
1558429200.0 105.0 0 NA 0 NA 734 NA 3529 NA
1558429200.0 106.0 0 NA 0 NA 736 NA 3530 NA
1558429200.0 107.0 0 NA 0 NA 866 NA 4287 NA
1558429200.0 10807.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 10809.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 10824.8 NA 0 NA 0 NA 0 NA 0
1558429200.0 10871.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 11.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 110.0 0 NA 0 NA 715 NA 3466 NA
1558429200.0 11024.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 11025.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 111.0 0 NA 0 NA 0 NA 0 NA
1558429200.0 11224.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 115.0 0 NA 0 NA 731 NA 3534 NA
1558429200.0 116.0 0 NA 0 NA 729 NA 3528 NA
1558429200.0 117.0 0 NA 0 NA 440 NA 2252 NA
1558429200.0 118.0 0 NA 0 NA 434 NA 2256 NA
1558429200.0 119.0 0 NA 0 NA 706 NA 3536 NA
1558429200.0 12.0 NA 62 NA 144 NA 1267 NA 5044
1558429200.0 122.0 0 NA 0 NA 872 NA 4286 NA
1558429200.0 125.0 0 NA 0 NA 769 NA 3317 NA
1558429200.0 127.0 0 NA 0 NA 732 NA 3586 NA
1558429200.0 128.0 0 NA 0 NA 716 NA 3466 NA
1558429200.0 129.0 0 NA 0 NA 735 NA 3592 NA
1558429200.0 130.0 0 NA 0 NA 736 NA 3597 NA
1558429200.0 1301.0 0 NA 0 NA 733 NA 3530 NA
1558429200.0 1301.17 0 NA 0 NA 0 NA 0 NA
1558429200.0 1302.0 0 NA 0 NA 882 NA 4287 NA
1558429200.0 1302.17 0 NA 0 NA 768 NA 3442 NA
1558429200.0 1302.18 0 NA 0 NA 757 NA 3529 NA
1558429200.0 1303.17 0 NA 0 NA 246 NA 434 NA
1558429200.0 1304.18 0 NA 0 NA 901 NA 4142 NA
1558429200.0 1308.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 131.0 0 NA 0 NA 0 NA 0 NA
1558429200.0 1311.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1314.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1316.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1318.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 132.0 0 NA 0 NA 712 NA 3468 NA
1558429200.0 1320.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1321.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1322.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1324.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1325.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1325.1 NA 0 NA 0 NA 0 NA 0
1558429200.0 1325.2 NA 0 NA 0 NA 0 NA 0
1558429200.0 1325.3 NA 0 NA 0 NA 0 NA 0
1558429200.0 1325.4 NA 0 NA 0 NA 0 NA 0
1558429200.0 1326.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1327.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1328.0 NA 70 NA 152 NA 1279 NA 5083
1558429200.0 1329.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 133.0 0 NA 0 NA 740 NA 3589 NA
1558429200.0 1330.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1331.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1332.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1333.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1334.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1335.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1336.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1338.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1339.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 134.709 NA 35 NA 111 NA 1488 NA 4208
1558429200.0 134.804 NA 34 NA 112 NA 1699 NA 4512
1558429200.0 134.807 NA 0 NA 0 NA 0 NA 0
1558429200.0 134.808 NA 0 NA 0 NA 0 NA 0
1558429200.0 134.903 NA 34 NA 112 NA 1608 NA 4394
1558429200.0 134.905 NA 34 NA 112 NA 1636 NA 4607
1558429200.0 134.907 NA 0 NA 0 NA 0 NA 0
1558429200.0 134.908 NA 0 NA 0 NA 0 NA 0
1558429200.0 134.91 NA 34 NA 112 NA 1610 NA 4434
1558429200.0 134.911 NA 33 NA 111 NA 1642 NA 4606
1558429200.0 1340.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1344.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1345.0 NA 69 NA 150 NA 1260 NA 5045
1558429200.0 1347.0 NA 68 NA 150 NA 1267 NA 5045
1558429200.0 1348.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1349.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1350.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1353.0 NA 0 NA 0 NA 0 NA 0
1558429200.0 1356.0 0 NA 0 NA 737 NA 3528 NA
1558429200.0 136.723 NA 51 NA 129 NA 363 NA 918
1558429200.0 136.726 NA 51 NA 129 NA 392 NA 903
1558429200.0 136.728 NA 0 NA 0 NA 0 NA 0
1558429200.0 136.729 NA 52 NA 129 NA 370 NA 914
1558429200.0 136.73 NA 49 NA 128 NA 808 NA 3410
1558429200.0 136.732 NA 48 NA 127 NA 797 NA 3385
1558429200.0 136.734 NA 51 NA 129 NA 368 NA 904
1558429200.0 136.735 NA 0 NA 0 NA 0 NA 0
1558429200.0 136.738 NA 51 NA 129 NA 419 NA 913
1558429200.0 136.739 NA 52 NA 128 NA 391 NA 919
1558429200.0 136.742 NA 49 NA 125 NA 821 NA 3416
