Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1558386000.0 1355.0 NA 72 NA NA 152 NA NA 1076 NA NA 2793 NA
1558386000.0 1356.0 0 NA NA 0 NA NA 479 NA NA 1765 NA NA
1558386000.0 136.721 NA 51 NA NA 130 NA NA 596 NA NA 2073 NA
1558386000.0 136.724 NA 49 NA NA 128 NA NA 591 NA NA 2072 NA
1558386000.0 136.727 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.73 NA 51 NA NA 130 NA NA 729 NA NA 2074 NA
1558386000.0 136.731 NA 50 NA NA 129 NA NA 599 NA NA 2052 NA
1558386000.0 136.732 NA 52 NA NA 129 NA NA 742 NA NA 2030 NA
1558386000.0 136.735 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.736 NA 51 NA NA 130 NA NA 621 NA NA 2057 NA
1558386000.0 136.737 NA 52 NA NA 128 NA NA 633 NA NA 2031 NA
1558386000.0 136.738 NA 52 NA NA 130 NA NA 617 NA NA 2069 NA
1558386000.0 136.739 NA 51 NA NA 128 NA NA 589 NA NA 2067 NA
1558386000.0 136.74 NA 52 NA NA 130 NA NA 605 NA NA 2071 NA
1558386000.0 136.741 NA 51 NA NA 130 NA NA 652 NA NA 2093 NA
1558386000.0 136.743 NA 51 NA NA 128 NA NA 616 NA NA 2063 NA
1558386000.0 136.744 NA 51 NA NA 129 NA NA 611 NA NA 2051 NA
1558386000.0 136.746 NA 52 NA NA 130 NA NA 599 NA NA 2067 NA
1558386000.0 136.747 NA 52 NA NA 130 NA NA 628 NA NA 2069 NA
1558386000.0 136.748 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.749 NA 51 NA NA 130 NA NA 635 NA NA 2052 NA
1558386000.0 136.75 NA 53 NA NA 130 NA NA 645 NA NA 2067 NA
1558386000.0 136.752 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.753 NA 51 NA NA 128 NA NA 605 NA NA 2026 NA
1558386000.0 136.754 NA 53 NA NA 133 NA NA 623 NA NA 2057 NA
1558386000.0 136.755 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.756 NA 51 NA NA 130 NA NA 606 NA NA 2027 NA
1558386000.0 136.757 NA 53 NA NA 133 NA NA 615 NA NA 2059 NA
1558386000.0 136.758 NA 51 NA NA 130 NA NA 598 NA NA 2058 NA
1558386000.0 136.76 NA 51 NA NA 130 NA NA 641 NA NA 2062 NA
1558386000.0 136.761 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.763 NA 52 NA NA 130 NA NA 766 NA NA 2112 NA
1558386000.0 136.765 NA 51 NA NA 128 NA NA 617 NA NA 2058 NA
1558386000.0 136.766 NA 51 NA NA 130 NA NA 594 NA NA 2072 NA
1558386000.0 136.767 NA 51 NA NA 129 NA NA 608 NA NA 2070 NA
1558386000.0 136.768 NA 52 NA NA 130 NA NA 639 NA NA 2030 NA
1558386000.0 136.77 NA 50 NA NA 129 NA NA 588 NA NA 2060 NA
1558386000.0 136.771 NA 51 NA NA 130 NA NA 611 NA NA 2040 NA
1558386000.0 136.772 NA 51 NA NA 130 NA NA 607 NA NA 2055 NA
1558386000.0 136.773 NA 51 NA NA 130 NA NA 646 NA NA 2038 NA
1558386000.0 136.774 NA 50 NA NA 130 NA NA 634 NA NA 2046 NA
1558386000.0 136.777 NA 54 NA NA 133 NA NA 575 NA NA 2701 NA
1558386000.0 136.779 NA 51 NA NA 130 NA NA 624 NA NA 2111 NA
1558386000.0 136.78 NA 54 NA NA 133 NA NA 562 NA NA 2693 NA
1558386000.0 136.7803 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.781 NA 55 NA NA 131 NA NA 557 NA NA 2695 NA
1558386000.0 136.782 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.783 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.784 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.785 NA 50 NA NA 129 NA NA 638 NA NA 2044 NA
1558386000.0 136.786 NA 51 NA NA 128 NA NA 590 NA NA 2044 NA
1558386000.0 136.788 NA 51 NA NA 129 NA NA 599 NA NA 2047 NA
1558386000.0 136.79 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.792 NA 52 NA NA 131 NA NA 610 NA NA 2076 NA
1558386000.0 136.793 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.794 NA 52 NA NA 131 NA NA 651 NA NA 2114 NA
1558386000.0 136.795 NA 56 NA NA 134 NA NA 571 NA NA 2704 NA
1558386000.0 136.796 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.797 NA 56 NA NA 134 NA NA 579 NA NA 2705 NA
1558386000.0 136.798 NA 50 NA NA 128 NA NA 485 NA NA 2114 NA
1558386000.0 136.799 NA 52 NA NA 131 NA NA 618 NA NA 2034 NA
1558386000.0 136.8 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.803 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.804 NA 52 NA NA 131 NA NA 633 NA NA 2085 NA
1558386000.0 136.805 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.807 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.808 NA 56 NA NA 134 NA NA 581 NA NA 2704 NA
1558386000.0 136.81 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.811 NA 52 NA NA 129 NA NA 633 NA NA 2079 NA
1558386000.0 136.812 NA 53 NA NA 131 NA NA 625 NA NA 2111 NA
1558386000.0 136.813 NA 52 NA NA 131 NA NA 779 NA NA 2145 NA
1558386000.0 136.815 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.816 NA 53 NA NA 131 NA NA 645 NA NA 2110 NA
1558386000.0 136.817 NA 53 NA NA 131 NA NA 630 NA NA 2101 NA
1558386000.0 136.818 NA 52 NA NA 131 NA NA 632 NA NA 2118 NA
1558386000.0 136.819 NA 53 NA NA 129 NA NA 643 NA NA 2104 NA
1558386000.0 136.82 NA 53 NA NA 131 NA NA 608 NA NA 2118 NA
1558386000.0 136.821 NA 53 NA NA 131 NA NA 641 NA NA 2126 NA
1558386000.0 136.822 NA 53 NA NA 129 NA NA 623 NA NA 2110 NA
1558386000.0 136.825 NA 52 NA NA 131 NA NA 776 NA NA 2153 NA
1558386000.0 136.827 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.828 NA 53 NA NA 131 NA NA 624 NA NA 2126 NA
1558386000.0 136.831 NA 53 NA NA 131 NA NA 628 NA NA 2108 NA
1558386000.0 136.832 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.835 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.837 NA 58 NA NA 134 NA NA 596 NA NA 2705 NA
1558386000.0 136.839 NA 53 NA NA 133 NA NA 743 NA NA 1817 NA
1558386000.0 136.84 NA 54 NA NA 133 NA NA 525 NA NA 2322 NA
1558386000.0 136.841 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.843 NA 52 NA NA 131 NA NA 630 NA NA 2121 NA
1558386000.0 136.844 NA 51 NA NA 129 NA NA 609 NA NA 2051 NA
1558386000.0 136.846 NA 52 NA NA 131 NA NA 631 NA NA 2085 NA
1558386000.0 136.847 NA 53 NA NA 131 NA NA 628 NA NA 2126 NA
1558386000.0 136.8501 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.853 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.856 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.8561 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.866 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.87 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.873 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.878 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.881 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.882 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.883 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.892 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.894 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 136.896 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 1366.0 NA 72 NA NA 153 NA NA 1094 NA NA 2795 NA
1558386000.0 137.8 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 139901.0 NA 73 NA NA 154 NA NA 1091 NA NA 2930 NA
1558386000.0 139902.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 145.0 0 NA NA 0 NA NA 583 NA NA 1753 NA NA
1558386000.0 149.0 0 NA NA 0 NA NA 693 NA NA 2102 NA NA
1558386000.0 150.0 0 NA NA 0 NA NA 682 NA NA 2131 NA NA
1558386000.0 158.0 0 NA NA 0 NA NA 673 NA NA 2122 NA NA
1558386000.0 16.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 18.0 NA 64 NA NA 145 NA NA 1067 NA NA 2792 NA
1558386000.0 19.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 20.0 NA 59 NA NA 140 NA NA 905 NA NA 2069 NA
1558386000.0 2018.8 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1558386000.0 202.0 NA 66 NA NA 148 NA NA 1073 NA NA 2790 NA
1558386000.0 20234.99 NA 0 NA NA 0 NA NA 725 NA NA 1914 NA
1558386000.0 20261.97 0 NA NA 0 NA NA 476 NA NA 1716 NA NA
1558386000.0 203.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 204.0 0 NA NA 0 NA NA 682 NA NA 1986 NA NA
1558386000.0 20434.0 0 NA NA 0 NA NA 471 NA NA 1634 NA NA
1558386000.0 21234.0 0 NA NA 0 NA NA 474 NA NA 1635 NA NA
1558386000.0 22.0 NA 64 NA NA 145 NA NA 1066 NA NA 2799 NA
1558386000.0 250199.0 0 NA NA 0 NA NA 790 NA NA 2749 NA NA
1558386000.0 250200.1 0 NA NA 0 NA NA 623 NA NA 1629 NA NA
1558386000.0 250200.117 0 NA NA 0 NA NA 676 NA NA 1899 NA NA
1558386000.0 250200.18 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 250202.0 NA 67 NA NA 150 NA NA 727 NA NA 2080 NA
1558386000.0 250202.118 0 NA NA 0 NA NA 488 NA NA 1761 NA NA
1558386000.0 250202.17 NA 86 NA NA 170 NA NA 874 NA NA 2139 NA
1558386000.0 250202.171 NA 0 NA NA 0 NA NA 602 NA NA 2008 NA
1558386000.0 250202.181 NA 0 NA NA 0 NA NA 588 NA NA 2008 NA
1558386000.0 250203.0 NA 68 NA NA 150 NA NA 729 NA NA 2057 NA
1558386000.0 250203.17 NA 84 NA NA 168 NA NA 851 NA NA 2097 NA
1558386000.0 250204.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 250204.17 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 250204.18 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1558386000.0 250205.0 NA 70 NA NA 151 NA NA 727 NA NA 2066 NA
1558386000.0 250206.0 NA 67 NA NA 150 NA NA 715 NA NA 2019 NA
