Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1558216800.0 136.822 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.823 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.824 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.825 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.826 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.828 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.83 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.832 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.838 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.8391 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.841 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.843 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.844 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.846 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.847 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.848 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.85 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.855 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.863 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.8642 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.8643 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.865 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.875 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.876 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.878 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.879 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.885 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.89 NA 0 NA 0 NA 0 NA 0
1558216800.0 136.898 NA 0 NA 0 NA 0 NA 0
1558216800.0 1366.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 140.55 NA 0 NA 0 NA 0 NA 0
1558216800.0 158.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 158.3 NA 0 NA 0 NA 0 NA 0
1558216800.0 202.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 20234.99 NA 0 NA 0 NA 0 NA 0
1558216800.0 20261.97 0 NA 0 NA 0 NA 0 NA
1558216800.0 20434.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 21234.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 21234.11 0 NA 0 NA 0 NA 0 NA
1558216800.0 22.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 22434.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 24034.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 250202.17 NA 0 NA 0 NA 0 NA 0
1558216800.0 250202.181 NA 0 NA 0 NA 0 NA 0
1558216800.0 250203.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 250204.18 NA 0 NA 0 NA 0 NA 0
1558216800.0 250206.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 250206.181 NA 0 NA 0 NA 0 NA 0
1558216800.0 250207.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 25205.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 25208.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 27634.21 NA 0 NA 0 NA 0 NA 0
1558216800.0 4.24 NA 0 NA 0 NA 0 NA 0
1558216800.0 4.42 NA 0 NA 0 NA 0 NA 0
1558216800.0 4.53 NA 0 NA 0 NA 0 NA 0
1558216800.0 4.65 NA 0 NA 0 NA 0 NA 0
1558216800.0 4.75 NA 0 NA 0 NA 0 NA 0
1558216800.0 4000.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 4007.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 4008.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 500200.1 0 NA 0 NA 0 NA 0 NA
1558216800.0 500202.0 NA 0 NA 0 NA 0 NA 0
1558216800.0 7.0 0 NA 0 NA 0 NA 0 NA
1558216800.0 7.4 0 NA 0 NA 0 NA 0 NA
1558216800.0 8.2 0 NA 0 NA 0 NA 0 NA
