Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558216800.0 128.0 74 111 279 NA NA NA 132 584 420 NA NA NA 1120 438 1794 NA NA NA 1062 347 2523 NA NA NA
1558216800.0 129.0 71 106 279 NA NA NA 147 540 441 NA NA NA 530 401 1579 NA NA NA 1314 342 1697 NA NA NA
1558216800.0 1301.0 83 154 193 NA NA NA 168 546 328 NA NA NA 1583 513 1516 NA NA NA 1154 553 1950 NA NA NA
1558216800.0 1301.17 68 156 204 NA NA NA 143 546 394 NA NA NA 2520 662 1535 NA NA NA 2423 669 1889 NA NA NA
1558216800.0 1302.0 87 170 199 NA NA NA 182 592 340 NA NA NA 3449 535 1539 NA NA NA 1990 439 2454 NA NA NA
1558216800.0 1302.17 81 179 252 NA NA NA 151 590 414 NA NA NA 3216 718 1415 NA NA NA 1273 527 1480 NA NA NA
1558216800.0 1303.0 82 134 205 NA NA NA 175 590 357 NA NA NA 5584 472 1762 NA NA NA 3417 1118 1801 NA NA NA
1558216800.0 1307.0 NA 166 195 46 0 NA NA 603 286 96 0 NA NA 589 818 177 312 NA NA 652 1247 362 450 NA
1558216800.0 1308.0 NA 183 204 45 0 NA NA 603 288 98 0 NA NA 475 633 162 301 NA NA 443 917 996 732 NA
1558216800.0 131.0 71 108 284 NA NA NA 138 584 440 NA NA NA 1383 462 1733 NA NA NA 814 384 1926 NA NA NA
1558216800.0 1319.0 NA 138 349 0 NA NA NA 565 484 0 NA NA NA 608 1714 598 NA NA NA 509 1954 775 NA NA
1558216800.0 132.0 92 114 286 NA NA NA 212 584 438 NA NA NA 3025 506 1954 NA NA NA 1579 384 2028 NA NA NA
1558216800.0 1325.1 NA 178 162 0 NA NA NA 565 275 0 NA NA NA 632 807 351 NA NA NA 742 1139 471 NA NA
1558216800.0 1325.3 NA 165 167 0 NA NA NA 609 248 0 NA NA NA 627 816 329 NA NA NA 707 1727 484 NA NA
1558216800.0 1325.5 NA 172 0 NA NA NA NA 268 0 NA NA NA NA 4620 126 NA NA NA NA 6105 546 NA NA NA
1558216800.0 1325.51 NA 158 0 NA NA NA NA 251 0 NA NA NA NA 2120 158 NA NA NA NA 2121 239 NA NA NA
1558216800.0 1325.6 NA 161 NA NA NA NA NA 269 NA NA NA NA NA 3598 NA NA NA NA NA 4235 NA NA NA NA
1558216800.0 1325.7 NA 175 0 NA NA NA NA 274 0 NA NA NA NA 2660 169 NA NA NA NA 2352 407 NA NA NA
1558216800.0 1325.8 NA 181 0 NA NA NA NA 267 0 NA NA NA NA 3280 127 NA NA NA NA 3277 200 NA NA NA
