Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558299600.0 1.0 102 111 217 NA NA NA NA NA NA 198 585 426 NA NA NA NA NA NA 1190 424 916 NA NA NA NA NA NA 1007 763 1561 NA NA NA NA NA NA
1558299600.0 1000.0 NA 289 150 0 51 NA NA NA NA NA 533 266 0 102 NA NA NA NA NA 3092 1373 792 337 NA NA NA NA NA 4521 1627 1196 942 NA NA NA NA
1558299600.0 10005.0 NA 166 350 0 63 NA NA NA NA NA 609 581 0 122 NA NA NA NA NA 778 1936 1070 697 NA NA NA NA NA 925 3004 1374 1620 NA NA NA NA
1558299600.0 10008.0 NA 185 372 0 68 NA NA NA NA NA 609 672 0 123 NA NA NA NA NA 623 1570 915 225 NA NA NA NA NA 848 1770 1217 585 NA NA NA NA
1558299600.0 1001.0 NA 262 117 0 0 0 0 0 0 NA 486 167 0 0 0 0 0 0 NA 2761 680 109 85 138 295 138 307 NA 2034 600 160 125 250 410 290 528
1558299600.0 1002.0 NA 298 72 NA NA NA NA NA NA NA 495 136 NA NA NA NA NA NA NA 3255 394 NA NA NA NA NA NA NA 3309 266 NA NA NA NA NA NA
1558299600.0 10024.0 NA 180 366 0 64 NA NA NA NA NA 564 605 0 124 NA NA NA NA NA 846 2237 1116 312 NA NA NA NA NA 993 3430 1488 561 NA NA NA NA
1558299600.0 10024.1 NA 180 178 0 NA NA NA NA NA NA 610 336 0 NA NA NA NA NA NA 868 908 386 NA NA NA NA NA NA 1086 1482 660 NA NA NA NA NA
1558299600.0 10024.5 NA 192 147 0 NA NA NA NA NA NA 564 228 0 NA NA NA NA NA NA 853 590 188 NA NA NA NA NA NA 547 1647 1012 NA NA NA NA NA
1558299600.0 1003.0 NA 255 0 NA NA NA NA NA NA NA 533 0 NA NA NA NA NA NA NA 3201 646 NA NA NA NA NA NA NA 3273 719 NA NA NA NA NA NA
1558299600.0 1004.0 NA 228 99 0 0 0 0 NA NA NA 326 160 0 0 0 0 NA NA NA 831 326 63 105 216 216 NA NA NA 996 797 183 263 279 293 NA NA
1558299600.0 10042.0 NA 184 372 0 80 NA NA NA NA NA 611 609 0 122 NA NA NA NA NA 661 1659 896 223 NA NA NA NA NA 1030 1797 1424 492 NA NA NA NA
1558299600.0 101.0 84 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 915 NA NA NA NA NA NA NA NA 1438 NA NA NA NA NA NA NA NA
1558299600.0 1010.0 NA 23 40 0 NA NA NA NA NA NA 81 93 0 NA NA NA NA NA NA 140 219 160 NA NA NA NA NA NA 615 674 383 NA NA NA NA NA
1558299600.0 102.0 89 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 812 NA NA NA NA NA NA NA NA 1320 NA NA NA NA NA NA NA NA
1558299600.0 1020.0 NA 66 24 0 68 NA NA NA NA NA 137 68 0 142 NA NA NA NA NA 308 129 87 280 NA NA NA NA NA 1466 486 482 561 NA NA NA NA
1558299600.0 103.0 47 0 0 NA NA NA NA NA NA 105 0 0 NA NA NA NA NA NA 735 290 1182 NA NA NA NA NA NA 652 519 1916 NA NA NA NA NA NA
1558299600.0 1030.0 NA 189 48 0 0 NA NA NA NA NA 440 97 0 0 NA NA NA NA NA 7836 287 78 80 NA NA NA NA NA 3715 305 201 164 NA NA NA NA
1558299600.0 1040.0 NA 339 29 0 NA NA NA NA NA NA 681 73 0 NA NA NA NA NA NA 11929 146 139 NA NA NA NA NA NA 5809 347 527 NA NA NA NA NA
1558299600.0 1040.1 NA 58 22 0 NA NA NA NA NA NA 124 72 0 NA NA NA NA NA NA 427 150 141 NA NA NA NA NA NA 969 408 532 NA NA NA NA NA
1558299600.0 106.0 47 0 0 NA NA NA NA NA NA 104 0 0 NA NA NA NA NA NA 1279 307 1098 NA NA NA NA NA NA 1306 662 1525 NA NA NA NA NA NA
1558299600.0 107.0 78 109 285 NA NA NA NA NA NA 202 586 512 NA NA NA NA NA NA 2571 558 1858 NA NA NA NA NA NA 1948 1024 3605 NA NA NA NA NA NA
1558299600.0 108.0 78 119 280 NA NA NA NA NA NA 204 587 504 NA NA NA NA NA NA 3166 585 1953 NA NA NA NA NA NA 1997 683 2300 NA NA NA NA NA NA
1558299600.0 10801.0 NA 257 374 0 79 154 NA NA NA NA 685 580 0 138 230 NA NA NA NA 2052 2242 2009 477 832 NA NA NA NA 2610 4533 2840 712 1031 NA NA NA
1558299600.0 10803.0 NA 268 394 0 83 170 NA NA NA NA 681 672 0 144 244 NA NA NA NA 1760 1815 1669 373 670 NA NA NA NA 2046 1931 1893 753 871 NA NA NA
1558299600.0 10806.0 NA 260 385 0 80 136 NA NA NA NA 718 672 0 142 210 NA NA NA NA 1698 1724 1603 505 629 NA NA NA NA 1863 1906 1774 717 980 NA NA NA
1558299600.0 10807.0 NA 261 381 0 87 144 NA NA NA NA 687 664 0 147 231 NA NA NA NA 2178 2243 2023 498 835 NA NA NA NA 3165 3409 2406 740 1268 NA NA NA
1558299600.0 10809.0 NA 267 398 0 92 175 NA NA NA NA 684 599 0 147 242 NA NA NA NA 1714 1969 1631 390 752 NA NA NA NA 2581 3497 1864 709 1082 NA NA NA
1558299600.0 10823.0 NA 252 378 0 78 135 NA NA NA NA 716 613 0 137 221 NA NA NA NA 2161 2190 2048 480 861 NA NA NA NA 2756 4937 2337 658 1759 NA NA NA
1558299600.0 10824.1 NA 313 215 0 NA NA NA NA NA NA 691 377 0 NA NA NA NA NA NA 1737 767 312 NA NA NA NA NA NA 1642 938 528 NA NA NA NA NA
1558299600.0 10824.5 NA 281 156 0 NA NA NA NA NA NA 683 243 0 NA NA NA NA NA NA 2275 671 173 NA NA NA NA NA NA 2421 1213 574 NA NA NA NA NA
1558299600.0 10825.0 NA 296 397 0 82 171 NA NA NA NA 650 580 0 144 257 NA NA NA NA 1712 2082 1668 454 665 NA NA NA NA 2213 3485 2016 457 1062 NA NA NA
1558299600.0 10826.0 NA 283 402 0 88 161 NA NA NA NA 690 621 0 151 260 NA NA NA NA 2350 2763 2130 769 893 NA NA NA NA 2673 3424 2269 1188 1843 NA NA NA
1558299600.0 10842.0 NA 264 384 0 99 157 NA NA NA NA 686 634 0 147 239 NA NA NA NA 2139 2359 2042 501 867 NA NA NA NA 2394 4494 2398 728 1376 NA NA NA
1558299600.0 10859.0 NA 293 423 0 89 166 NA NA NA NA 645 633 0 156 249 NA NA NA NA 1956 2684 1713 576 731 NA NA NA NA 2145 3392 1943 1156 957 NA NA NA
1558299600.0 111.0 91 115 297 NA NA NA NA NA NA 197 586 521 NA NA NA NA NA NA 1363 331 1297 NA NA NA NA NA NA 1431 312 1410 NA NA NA NA NA NA
1558299600.0 112.0 103 115 294 NA NA NA NA NA NA 216 597 481 NA NA NA NA NA NA 1796 438 1411 NA NA NA NA NA NA 1057 455 2257 NA NA NA NA NA NA
1558299600.0 11224.0 NA 275 399 0 NA NA NA NA NA NA 719 645 0 NA NA NA NA NA NA 2190 2544 2037 NA NA NA NA NA NA 2825 3014 2761 NA NA NA NA NA
1558299600.0 11224.6 NA 273 398 0 NA NA NA NA NA NA 719 650 0 NA NA NA NA NA NA 2178 2524 2053 NA NA NA NA NA NA 3085 3751 2207 NA NA NA NA NA
1558299600.0 114.0 97 125 296 NA NA NA NA NA NA 210 587 525 NA NA NA NA NA NA 1971 488 1346 NA NA NA NA NA NA 1453 633 1502 NA NA NA NA NA NA
1558299600.0 115.0 83 158 281 NA NA NA NA NA NA 208 551 553 NA NA NA NA NA NA 2814 568 1853 NA NA NA NA NA NA 2064 704 2504 NA NA NA NA NA NA
1558299600.0 11625.0 70 182 366 0 68 NA NA NA NA 129 559 539 0 122 NA NA NA NA 2274 682 1766 922 226 NA NA NA NA 1639 1057 2967 1742 585 NA NA NA NA
1558299600.0 11626.0 75 186 397 0 70 NA NA NA NA 136 557 684 0 124 NA NA NA NA 4877 726 1971 927 241 NA NA NA NA 2385 629 1844 1082 600 NA NA NA NA
1558299600.0 117.0 88 140 278 NA NA NA NA NA NA 215 540 514 NA NA NA NA NA NA 3432 582 1922 NA NA NA NA NA NA 2375 675 2379 NA NA NA NA NA NA
1558299600.0 118.0 90 129 284 NA NA NA NA NA NA 216 595 487 NA NA NA NA NA NA 3745 595 2035 NA NA NA NA NA NA 2788 1359 3865 NA NA NA NA NA NA
1558299600.0 119.0 75 149 289 NA NA NA NA NA NA 210 585 484 NA NA NA NA NA NA 2184 550 1764 NA NA NA NA NA NA 1981 585 2867 NA NA NA NA NA NA
1558299600.0 12024.0 69 177 363 0 NA NA NA NA NA 131 603 623 0 NA NA NA NA NA 3360 858 2224 1120 NA NA NA NA NA 1596 1789 3303 1383 NA NA NA NA NA
1558299600.0 122.0 45 0 0 NA NA NA NA NA NA 102 0 0 NA NA NA NA NA NA 1301 262 1442 NA NA NA NA NA NA 1501 548 1755 NA NA NA NA NA NA
1558299600.0 123.1 322 NA NA NA NA NA NA NA NA 781 NA NA NA NA NA NA NA NA 1369 NA NA NA NA NA NA NA NA 1436 NA NA NA NA NA NA NA NA
1558299600.0 123.2 326 NA NA NA NA NA NA NA NA 777 NA NA NA NA NA NA NA NA 1529 NA NA NA NA NA NA NA NA 1732 NA NA NA NA NA NA NA NA
1558299600.0 123.3 236 NA NA NA NA NA NA NA NA 780 NA NA NA NA NA NA NA NA 1214 NA NA NA NA NA NA NA NA 1266 NA NA NA NA NA NA NA NA
1558299600.0 124.2 319 NA NA NA NA NA NA NA NA 746 NA NA NA NA NA NA NA NA 1337 NA NA NA NA NA NA NA NA 2096 NA NA NA NA NA NA NA NA
1558299600.0 124.4 297 NA NA NA NA NA NA NA NA 780 NA NA NA NA NA NA NA NA 1217 NA NA NA NA NA NA NA NA 1408 NA NA NA NA NA NA NA NA
1558299600.0 125.0 87 126 276 NA NA NA NA NA NA 218 585 560 NA NA NA NA NA NA 2706 566 1786 NA NA NA NA NA NA 2380 682 2315 NA NA NA NA NA NA
