Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1557612000.0 1.0 89 81 193 NA NA NA NA NA 186 360 299 NA NA NA NA NA 1803 573 1127 NA NA NA NA NA 1860 922 1596 NA NA NA NA NA
1557612000.0 10.0 NA 122 473 0 NA NA NA NA NA 368 566 0 NA NA NA NA NA 3001 3738 591 NA NA NA NA NA 2717 2497 698 NA NA NA NA
1557612000.0 1000.0 NA 385 162 0 47 NA NA NA NA 499 259 0 90 NA NA NA NA 2768 1322 618 271 NA NA NA NA 3800 1745 696 358 NA NA NA
1557612000.0 10001.0 NA 221 666 84 0 NA NA NA NA 486 823 136 0 NA NA NA NA 1609 2181 442 1761 NA NA NA NA 2910 2203 745 1960 NA NA NA
1557612000.0 10002.0 NA 223 662 84 0 NA NA NA NA 478 823 136 0 NA NA NA NA 1708 2722 413 2058 NA NA NA NA 3011 4996 624 2735 NA NA NA
1557612000.0 10003.0 NA 195 670 83 0 NA NA NA NA 483 829 135 0 NA NA NA NA 1730 2658 454 2065 NA NA NA NA 2718 2984 759 2236 NA NA NA
1557612000.0 10004.0 NA 188 657 83 0 NA NA NA NA 486 796 135 0 NA NA NA NA 1720 2639 455 2066 NA NA NA NA 3366 3987 768 2253 NA NA NA
1557612000.0 10005.0 NA 218 338 84 0 NA NA NA NA 479 821 135 0 NA NA NA NA 1653 3860 527 1723 NA NA NA NA 2452 5475 513 1881 NA NA NA
1557612000.0 10006.0 NA 218 654 89 0 NA NA NA NA 483 810 135 0 NA NA NA NA 1628 2281 374 1705 NA NA NA NA 3518 2729 454 1851 NA NA NA
1557612000.0 10007.0 NA 212 667 95 0 NA NA NA NA 483 819 145 0 NA NA NA NA 2394 2274 412 1772 NA NA NA NA 4458 2492 521 1936 NA NA NA
1557612000.0 10008.0 NA 217 665 94 0 NA NA NA NA 493 832 145 0 NA NA NA NA 1979 3446 574 2249 NA NA NA NA 2982 6537 1190 2409 NA NA NA
1557612000.0 10009.0 NA 216 665 97 0 NA NA NA NA 489 825 144 0 NA NA NA NA 1967 3193 535 2121 NA NA NA NA 2973 4809 881 2213 NA NA NA
1557612000.0 1001.0 NA 370 179 0 0 0 0 0 NA 466 231 0 0 0 0 0 NA 2338 555 93 166 223 135 222 NA 1835 809 246 431 265 219 277
1557612000.0 1002.0 NA 415 63 NA NA NA NA NA NA 514 122 NA NA NA NA NA NA 3351 470 NA NA NA NA NA NA 2619 386 NA NA NA NA NA
1557612000.0 10023.0 NA 218 333 93 0 NA NA NA NA 478 802 134 0 NA NA NA NA 1675 3345 377 1758 NA NA NA NA 2974 5683 464 2000 NA NA NA
1557612000.0 10024.0 NA 240 686 99 0 NA NA NA NA 488 842 147 0 NA NA NA NA 1895 2539 461 1746 NA NA NA NA 3373 2377 737 1891 NA NA NA
1557612000.0 10024.1 NA 243 268 0 NA NA NA NA NA 486 362 0 NA NA NA NA NA 1966 1012 383 NA NA NA NA NA 3228 1516 592 NA NA NA NA
1557612000.0 10024.2 NA 241 680 0 NA NA NA NA NA 486 839 0 NA NA NA NA NA 2160 3015 2090 NA NA NA NA NA 3547 2777 2157 NA NA NA NA
1557612000.0 10024.3 NA 215 242 0 NA NA NA NA NA 482 342 0 NA NA NA NA NA 1942 960 343 NA NA NA NA NA 2706 1272 470 NA NA NA NA
1557612000.0 10024.4 NA 217 684 0 NA NA NA NA NA 485 839 0 NA NA NA NA NA 2495 3081 2163 NA NA NA NA NA 4430 2809 2248 NA NA NA NA
1557612000.0 10024.5 NA 211 265 0 NA NA NA NA NA 491 369 0 NA NA NA NA NA 1893 949 387 NA NA NA NA NA 2468 1111 475 NA NA NA NA
1557612000.0 10024.6 NA 211 672 0 NA NA NA NA NA 487 840 0 NA NA NA NA NA 1933 2969 2053 NA NA NA NA NA 3150 2918 2137 NA NA NA NA
1557612000.0 10025.0 NA 200 666 84 0 NA NA NA NA 484 833 135 0 NA NA NA NA 1826 2833 467 2093 NA NA NA NA 3201 4047 837 2246 NA NA NA
1557612000.0 10026.0 NA 213 688 97 0 NA NA NA NA 482 847 145 0 NA NA NA NA 1936 3146 459 2354 NA NA NA NA 2821 2911 579 2452 NA NA NA
1557612000.0 1003.0 NA 322 0 NA NA NA NA NA NA 406 0 NA NA NA NA NA NA 3292 525 NA NA NA NA NA NA 2072 875 NA NA NA NA NA
1557612000.0 1004.0 NA 309 159 0 0 0 0 NA NA 403 213 0 0 0 0 NA NA 1178 390 87 103 283 281 NA NA 2078 622 174 163 372 388 NA
1557612000.0 10042.0 NA 199 673 95 0 NA NA NA NA 485 826 146 0 NA NA NA NA 1807 2809 470 2129 NA NA NA NA 2993 3043 654 2398 NA NA NA
1557612000.0 10059.0 NA 252 691 95 0 NA NA NA NA 485 842 145 0 NA NA NA NA 1988 2942 450 1750 NA NA NA NA 2650 2529 650 1925 NA NA NA
1557612000.0 10071.0 NA 234 475 89 0 NA NA NA NA 482 837 135 0 NA NA NA NA 1830 3872 446 1760 NA NA NA NA 3077 5197 651 1894 NA NA NA
1557612000.0 101.0 78 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 1077 NA NA NA NA NA NA NA 2615 NA NA NA NA NA NA NA
1557612000.0 1010.0 NA 22 70 0 NA NA NA NA NA 72 121 0 NA NA NA NA NA 131 241 145 NA NA NA NA NA 688 989 1154 NA NA NA NA
1557612000.0 102.0 81 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 893 NA NA NA NA NA NA NA 3183 NA NA NA NA NA NA NA
1557612000.0 1020.0 NA 39 NA NA NA NA NA NA NA 108 NA NA NA NA NA NA NA 277 NA NA NA NA NA NA NA 1071 NA NA NA NA NA NA
1557612000.0 10224.0 NA 394 0 NA NA NA NA NA NA 591 0 NA NA NA NA NA NA 4793 0 NA NA NA NA NA NA 4469 0 NA NA NA NA NA
1557612000.0 10225.0 NA 385 0 NA NA NA NA NA NA 564 0 NA NA NA NA NA NA 4633 0 NA NA NA NA NA NA 5245 0 NA NA NA NA NA
1557612000.0 103.0 43 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 869 263 1645 NA NA NA NA NA 979 364 2117 NA NA NA NA NA
1557612000.0 1030.0 NA 181 45 0 NA NA NA NA NA 331 86 0 NA NA NA NA NA 11150 272 83 NA NA NA NA NA 4282 402 395 NA NA NA NA
1557612000.0 10424.0 NA 212 692 0 NA NA NA NA NA 483 843 0 NA NA NA NA NA 1885 2994 2107 NA NA NA NA NA 2810 2944 2789 NA NA NA NA
1557612000.0 105.0 87 81 29 NA NA NA NA NA 186 367 66 NA NA NA NA NA 2391 542 177 NA NA NA NA NA 3255 1384 1484 NA NA NA NA NA
