Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558216800.0 1.0 77 130 185 NA NA NA NA 200 583 339 NA NA NA NA 2061 493 1443 NA NA NA NA 2317 920 1748 NA NA NA NA
1558216800.0 1004.0 NA 212 108 0 0 0 0 NA 333 162 0 0 0 0 NA 1022 375 90 141 293 289 NA 1864 491 173 271 536 364
1558216800.0 101.0 91 NA NA NA NA NA NA 161 NA NA NA NA NA NA 900 NA NA NA NA NA NA 1496 NA NA NA NA NA NA
1558216800.0 1010.0 NA 25 43 0 NA NA NA NA 85 100 0 NA NA NA NA 141 244 161 NA NA NA NA 663 386 532 NA NA NA
1558216800.0 102.0 98 NA NA NA NA NA NA 177 NA NA NA NA NA NA 790 NA NA NA NA NA NA 1659 NA NA NA NA NA NA
1558216800.0 1020.0 NA 78 23 0 69 NA NA NA 147 71 0 141 NA NA NA 253 112 77 253 NA NA NA 596 325 335 645 NA NA
1558216800.0 1040.0 NA 353 28 0 NA NA NA NA 610 76 0 NA NA NA NA 11307 130 129 NA NA NA NA 4203 349 280 NA NA NA
1558216800.0 1040.1 NA 77 28 0 NA NA NA NA 152 76 0 NA NA NA NA 466 152 140 NA NA NA NA 1055 478 271 NA NA NA
1558216800.0 11626.0 73 167 372 0 71 NA NA 134 555 543 0 130 NA NA 6004 990 2822 1450 349 NA NA 3869 1157 3316 1833 885 NA NA
1558216800.0 120.0 62 158 266 NA NA NA NA 137 584 409 NA NA NA NA 1649 499 2021 NA NA NA NA 1951 574 2659 NA NA NA NA
1558216800.0 128.0 62 147 266 NA NA NA NA 133 583 423 NA NA NA NA 1351 511 1992 NA NA NA NA 1998 508 2502 NA NA NA NA
1558216800.0 1302.0 85 133 197 NA NA NA NA 175 552 338 NA NA NA NA 3621 583 1673 NA NA NA NA 2165 596 2153 NA NA NA NA
1558216800.0 131.0 64 141 272 NA NA NA NA 142 538 428 NA NA NA NA 2115 509 2032 NA NA NA NA 2188 955 2478 NA NA NA NA
1558216800.0 1325.51 NA 154 0 NA NA NA NA NA 244 0 NA NA NA NA NA 2141 165 NA NA NA NA NA 2597 242 NA NA NA NA
1558216800.0 135.8 149 NA NA NA NA NA NA 258 NA NA NA NA NA NA 487 NA NA NA NA NA NA 1240 NA NA NA NA NA NA
1558216800.0 136.7722 NA 176 0 NA NA NA NA NA 287 0 NA NA NA NA NA 6232 210 NA NA NA NA NA 8551 1650 NA NA NA NA
1558216800.0 136.7801 NA 105 0 NA NA NA NA NA 176 0 NA NA NA NA NA 473 296 NA NA NA NA NA 1263 790 NA NA NA NA
1558216800.0 136.7802 NA 73 0 NA NA NA NA NA 138 0 NA NA NA NA NA 345 195 NA NA NA NA NA 1120 756 NA NA NA NA
