Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558216800.0 1002.0 NA 466 72 NA NA NA NA NA 552 124 NA NA NA NA NA 2081 337 NA NA NA NA NA 1012 217 NA NA NA NA
1558216800.0 10024.3 NA 215 240 0 NA NA NA NA 474 375 0 NA NA NA NA 881 459 183 NA NA NA NA 799 540 195 NA NA NA
1558216800.0 1003.0 NA 414 0 NA NA NA NA NA 498 0 NA NA NA NA NA 2746 482 NA NA NA NA NA 1210 506 NA NA NA NA
1558216800.0 1004.0 NA 352 358 0 0 0 0 NA 437 445 0 0 0 0 NA 585 368 8 24 594 603 NA 858 415 14 30 630 614
1558216800.0 101.0 80 NA NA NA NA NA NA 150 NA NA NA NA NA NA 808 NA NA NA NA NA NA 859 NA NA NA NA NA NA
1558216800.0 1010.0 NA 21 68 0 NA NA NA NA 74 122 0 NA NA NA NA 12 116 28 NA NA NA NA 342 283 89 NA NA NA
1558216800.0 102.0 81 NA NA NA NA NA NA 151 NA NA NA NA NA NA 603 NA NA NA NA NA NA 807 NA NA NA NA NA NA
1558216800.0 1020.0 NA 36 NA NA NA NA NA NA 110 NA NA NA NA NA NA 50 NA NA NA NA NA NA 177 NA NA NA NA NA
1558216800.0 103.0 43 0 0 NA NA NA NA 89 0 0 NA NA NA NA 337 132 298 NA NA NA NA 1123 119 435 NA NA NA NA
1558216800.0 1030.0 NA 150 34 0 NA NA NA NA 262 83 0 NA NA NA NA 1700 46 2 NA NA NA NA 1100 229 30 NA NA NA
1558216800.0 105.0 88 83 24 NA NA NA NA 185 369 67 NA NA NA NA 1761 393 3 NA NA NA NA 863 311 25 NA NA NA NA
1558216800.0 11224.0 72 216 680 0 NA NA NA 135 523 840 0 NA NA NA 4492 892 1420 1655 NA NA NA 2250 750 1029 1682 NA NA NA
1558216800.0 116.0 82 87 458 NA NA NA NA 178 361 546 NA NA NA NA 3776 450 588 NA NA NA NA 2077 383 536 NA NA NA NA
1558216800.0 11624.0 71 217 682 93 0 NA NA 121 476 842 145 0 NA NA 4547 1011 1609 316 1710 NA NA 2228 739 1308 362 1740 NA NA
1558216800.0 120.0 58 81 448 NA NA NA NA 137 369 546 NA NA NA NA 855 389 465 NA NA NA NA 1056 748 490 NA NA NA NA
1558216800.0 122.0 58 77 445 NA NA NA NA 108 361 550 NA NA NA NA 811 502 457 NA NA NA NA 634 527 496 NA NA NA NA
1558216800.0 123.1 320 NA NA NA NA NA NA 503 NA NA NA NA NA NA 654 NA NA NA NA NA NA 612 NA NA NA NA NA NA
1558216800.0 123.2 328 NA NA NA NA NA NA 496 NA NA NA NA NA NA 778 NA NA NA NA NA NA 594 NA NA NA NA NA NA
1558216800.0 123.3 268 NA NA NA NA NA NA 502 NA NA NA NA NA NA 517 NA NA NA NA NA NA 470 NA NA NA NA NA NA
1558216800.0 124.1 310 NA NA NA NA NA NA 502 NA NA NA NA NA NA 528 NA NA NA NA NA NA 558 NA NA NA NA NA NA
1558216800.0 124.2 324 NA NA NA NA NA NA 497 NA NA NA NA NA NA 684 NA NA NA NA NA NA 608 NA NA NA NA NA NA
1558216800.0 124.4 309 NA NA NA NA NA NA 495 NA NA NA NA NA NA 528 NA NA NA NA NA NA 540 NA NA NA NA NA NA
1558216800.0 124.5 310 NA NA NA NA NA NA 502 NA NA NA NA NA NA 546 NA NA NA NA NA NA 501 NA NA NA NA NA NA
1558216800.0 124.6 267 NA NA NA NA NA NA 503 NA NA NA NA NA NA 515 NA NA NA NA NA NA 408 NA NA NA NA NA NA
1558216800.0 126.0 60 81 460 NA NA NA NA 148 361 558 NA NA NA NA 1533 395 516 NA NA NA NA 1019 587 513 NA NA NA NA
1558216800.0 127.0 60 80 450 NA NA NA NA 132 369 554 NA NA NA NA 1009 373 492 NA NA NA NA 992 538 523 NA NA NA NA
1558216800.0 128.0 56 82 449 NA NA NA NA 115 361 561 NA NA NA NA 626 381 469 NA NA NA NA 1109 473 571 NA NA NA NA
1558216800.0 129.0 58 79 448 NA NA NA NA 130 369 555 NA NA NA NA 644 396 473 NA NA NA NA 732 590 505 NA NA NA NA
1558216800.0 1307.0 NA 90 178 42 0 NA NA NA 381 266 88 0 NA NA NA 419 331 13 120 NA NA NA 876 448 186 172 NA NA
1558216800.0 1325.1 NA 102 218 0 NA NA NA NA 383 289 0 NA NA NA NA 523 397 174 NA NA NA NA 452 558 196 NA NA NA
1558216800.0 1325.3 NA 104 207 0 NA NA NA NA 388 268 0 NA NA NA NA 539 378 160 NA NA NA NA 628 428 180 NA NA NA
1558216800.0 1325.5 NA 138 0 NA NA NA NA NA 204 0 NA NA NA NA NA 685 22 NA NA NA NA NA 480 49 NA NA NA NA
1558216800.0 134.0 NA 477 40 0 NA NA NA NA 556 79 0 NA NA NA NA 2332 8 7 NA NA NA NA 1102 47 14 NA NA NA
1558216800.0 134.701 NA 34 518 0 NA NA NA NA 90 612 0 NA NA NA NA 221 3950 549 NA NA NA NA 213 1549 566 NA NA NA
1558216800.0 134.705 NA 32 527 0 NA NA NA NA 90 625 0 NA NA NA NA 206 5226 559 NA NA NA NA 325 1930 585 NA NA NA
1558216800.0 134.71 NA 30 507 0 NA NA NA NA 82 592 0 NA NA NA NA 197 3343 562 NA NA NA NA 294 1421 583 NA NA NA
1558216800.0 134.803 NA 32 523 0 NA NA NA NA 95 614 0 NA NA NA NA 230 5574 553 NA NA NA NA 366 1900 752 NA NA NA
1558216800.0 134.805 NA 38 528 0 NA NA NA NA 92 629 0 NA NA NA NA 231 6077 537 NA NA NA NA 254 2273 569 NA NA NA
1558216800.0 134.812 NA 28 515 0 NA NA NA NA 84 598 0 NA NA NA NA 188 3554 554 NA NA NA NA 230 1440 565 NA NA NA
1558216800.0 134.813 NA 181 65 0 NA NA NA NA 271 111 0 NA NA NA NA 639 82 133 NA NA NA NA 516 142 247 NA NA NA
1558216800.0 134.901 NA 33 517 0 NA NA NA NA 89 606 0 NA NA NA NA 233 3595 567 NA NA NA NA 206 1446 586 NA NA NA
1558216800.0 134.903 NA 32 510 0 NA NA NA NA 92 596 0 NA NA NA NA 242 4214 546 NA NA NA NA 263 1610 578 NA NA NA
1558216800.0 134.905 NA 32 518 0 NA NA NA NA 91 600 0 NA NA NA NA 223 4179 560 NA NA NA NA 301 1643 579 NA NA NA
1558216800.0 134.906 NA 31 514 0 NA NA NA NA 91 607 0 NA NA NA NA 284 4915 556 NA NA NA NA 746 1897 879 NA NA NA
1558216800.0 134.912 NA 33 512 0 NA NA NA NA 89 600 0 NA NA NA NA 220 3313 547 NA NA NA NA 196 1378 560 NA NA NA
1558216800.0 135.1 340 0 96 NA NA NA NA 507 0 155 NA NA NA NA 782 138 172 NA NA NA NA 620 152 263 NA NA NA NA
1558216800.0 135.11 342 0 99 NA NA NA NA 515 0 155 NA NA NA NA 1048 136 209 NA NA NA NA 749 159 335 NA NA NA NA
1558216800.0 135.12 336 0 95 NA NA NA NA 515 0 154 NA NA NA NA 676 134 154 NA NA NA NA 778 160 306 NA NA NA NA
1558216800.0 135.13 340 0 NA NA NA NA NA 552 0 NA NA NA NA NA 761 154 NA NA NA NA NA 538 164 NA NA NA NA NA
1558216800.0 135.2 282 0 98 NA NA NA NA 507 0 150 NA NA NA NA 553 118 142 NA NA NA NA 628 165 213 NA NA NA NA
1558216800.0 135.3 279 0 93 NA NA NA NA 515 0 151 NA NA NA NA 552 119 147 NA NA NA NA 611 159 315 NA NA NA NA
1558216800.0 135.4 329 0 95 NA NA NA NA 515 0 151 NA NA NA NA 647 131 150 NA NA NA NA 569 159 280 NA NA NA NA
1558216800.0 135.7 329 0 94 NA NA NA NA 515 0 150 NA NA NA NA 659 128 151 NA NA NA NA 816 168 246 NA NA NA NA
1558216800.0 135.8 144 NA NA NA NA NA NA 236 NA NA NA NA NA NA 276 NA NA NA NA NA NA 433 NA NA NA NA NA NA
1558216800.0 136.76 NA 59 577 0 NA NA NA NA 131 722 0 NA NA NA NA 651 16806 692 NA NA NA NA 504 4748 734 NA NA NA
1558216800.0 136.7611 NA 157 0 NA NA NA NA NA 233 0 NA NA NA NA NA 1411 33 NA NA NA NA NA 1106 118 NA NA NA NA
1558216800.0 140.53 NA 436 0 NA NA NA NA NA 559 0 NA NA NA NA NA 3142 200 NA NA NA NA NA 1277 213 NA NA NA NA
1558216800.0 140.54 NA 426 0 NA NA NA NA NA 532 0 NA NA NA NA NA 966 296 NA NA NA NA NA 698 359 NA NA NA NA
1558216800.0 144.6 NA 473 NA NA NA NA NA NA 551 NA NA NA NA NA NA 1652 NA NA NA NA NA NA 920 NA NA NA NA NA
1558216800.0 150.1 NA 95 367 0 NA NA NA NA 388 484 0 NA NA NA NA 306 472 379 NA NA NA NA 776 614 414 NA NA NA
1558216800.0 150.3 NA 95 361 0 NA NA NA NA 385 495 0 NA NA NA NA 300 469 372 NA NA NA NA 893 579 434 NA NA NA
1558216800.0 17.0 NA 94 455 0 NA NA NA NA 376 562 0 NA NA NA NA 1611 955 345 NA NA NA NA 734 638 356 NA NA NA
1558216800.0 18.0 NA 83 452 0 NA NA NA NA 368 547 0 NA NA NA NA 1593 831 342 NA NA NA NA 713 700 353 NA NA NA
1558216800.0 19.0 NA 94 453 0 NA NA NA NA 368 585 0 NA NA NA NA 1646 908 344 NA NA NA NA 1079 661 358 NA NA NA
1558216800.0 20.0 NA 85 461 0 NA NA NA NA 368 549 0 NA NA NA NA 1666 1130 357 NA NA NA NA 1199 677 368 NA NA NA
1558216800.0 20034.2 101 343 712 0 NA NA NA 159 425 859 0 NA NA NA 6289 2685 1569 530 NA NA NA 3192 1690 1347 553 NA NA NA
1558216800.0 24.0 NA 112 482 0 NA NA NA NA 376 572 0 NA NA NA NA 2429 2426 397 NA NA NA NA 1663 1084 407 NA NA NA
1558216800.0 250399.0 184 NA NA NA NA NA NA 429 NA NA NA NA NA NA 1156 NA NA NA NA NA NA 1405 NA NA NA NA NA NA
1558216800.0 250400.0 365 0 101 NA NA NA NA 533 0 158 NA NA NA NA 963 123 203 NA NA NA NA 811 148 307 NA NA NA NA
1558216800.0 250406.0 310 0 100 NA NA NA NA 533 0 152 NA NA NA NA 546 120 142 NA NA NA NA 674 189 241 NA NA NA NA
