Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1557306000.0 1.0 79 160 188 NA NA NA NA NA NA 202 551 405 NA NA NA NA NA NA 1351 499 1120 NA NA NA NA NA NA 1821 703 1626 NA NA NA NA NA NA
1557306000.0 10.0 NA 145 314 0 NA NA NA NA NA NA 603 585 0 NA NA NA NA NA NA 2409 4371 688 NA NA NA NA NA NA 1387 3767 1019 NA NA NA NA NA
1557306000.0 1000.0 NA 296 154 0 55 NA NA NA NA NA 563 293 0 101 NA NA NA NA NA 3059 1289 797 331 NA NA NA NA NA 1931 1146 852 409 NA NA NA NA
1557306000.0 10001.0 NA 196 371 0 83 NA NA NA NA NA 578 662 0 124 NA NA NA NA NA 680 1634 887 321 NA NA NA NA NA 449 1673 946 331 NA NA NA NA
1557306000.0 10002.0 NA 174 373 0 79 NA NA NA NA NA 577 622 0 130 NA NA NA NA NA 848 1984 1082 265 NA NA NA NA NA 583 2199 1139 396 NA NA NA NA
1557306000.0 10003.0 NA 198 375 0 84 NA NA NA NA NA 623 621 0 128 NA NA NA NA NA 691 1728 918 228 NA NA NA NA NA 518 1743 1002 345 NA NA NA NA
1557306000.0 10004.0 NA 184 390 0 83 NA NA NA NA NA 575 603 0 128 NA NA NA NA NA 732 1654 897 219 NA NA NA NA NA 520 1709 961 324 NA NA NA NA
1557306000.0 10005.0 NA 175 365 0 69 NA NA NA NA NA 620 662 0 129 NA NA NA NA NA 842 1896 1083 302 NA NA NA NA NA 603 1948 1143 452 NA NA NA NA
1557306000.0 10006.0 NA 172 353 0 77 NA NA NA NA NA 619 610 0 128 NA NA NA NA NA 814 1854 1076 433 NA NA NA NA NA 537 1904 1128 478 NA NA NA NA
1557306000.0 10007.0 NA 189 377 0 73 NA NA NA NA NA 574 612 0 125 NA NA NA NA NA 685 1700 911 386 NA NA NA NA NA 707 1725 976 759 NA NA NA NA
1557306000.0 10008.0 NA 176 361 0 78 NA NA NA NA NA 577 673 0 131 NA NA NA NA NA 958 1952 1084 267 NA NA NA NA NA 666 2007 1152 405 NA NA NA NA
1557306000.0 10009.0 NA 198 392 0 83 NA NA NA NA NA 625 621 0 128 NA NA NA NA NA 689 1639 965 424 NA NA NA NA NA 456 1623 1074 828 NA NA NA NA
1557306000.0 1001.0 NA 266 114 0 0 0 0 0 0 NA 492 182 0 0 0 0 0 0 NA 3068 825 107 91 122 359 120 288 NA 4036 1638 466 181 175 419 176 371
1557306000.0 1001.2 NA 371 139 0 NA NA NA NA NA NA 606 210 0 NA NA NA NA NA NA 14438 1647 135 NA NA NA NA NA NA 7647 1323 218 NA NA NA NA NA
1557306000.0 1002.0 NA 308 70 NA NA NA NA NA NA NA 568 134 NA NA NA NA NA NA NA 3126 359 NA NA NA NA NA NA NA 2784 338 NA NA NA NA NA NA
1557306000.0 10023.0 NA 175 359 0 69 NA NA NA NA NA 620 591 0 129 NA NA NA NA NA 929 1907 1106 362 NA NA NA NA NA 702 1988 1162 391 NA NA NA NA
1557306000.0 10024.0 NA 206 384 0 85 NA NA NA NA NA 624 602 0 133 NA NA NA NA NA 829 1939 915 240 NA NA NA NA NA 476 1717 966 335 NA NA NA NA
1557306000.0 10024.1 NA 186 187 0 NA NA NA NA NA NA 623 344 0 NA NA NA NA NA NA 926 828 362 NA NA NA NA NA NA 589 1172 521 NA NA NA NA NA
1557306000.0 10024.2 NA 188 369 0 NA NA NA NA NA NA 574 595 0 NA NA NA NA NA NA 975 2217 1037 NA NA NA NA NA NA 773 3175 1171 NA NA NA NA NA
1557306000.0 10024.3 NA 188 176 0 NA NA NA NA NA NA 578 331 0 NA NA NA NA NA NA 965 817 313 NA NA NA NA NA NA 645 1018 510 NA NA NA NA NA
1557306000.0 10024.4 NA 182 383 0 NA NA NA NA NA NA 577 651 0 NA NA NA NA NA NA 1463 2474 1174 NA NA NA NA NA NA 2397 2643 1563 NA NA NA NA NA
1557306000.0 10024.5 NA 189 157 0 NA NA NA NA NA NA 578 241 0 NA NA NA NA NA NA 937 470 129 NA NA NA NA NA NA 711 640 182 NA NA NA NA NA
1557306000.0 10025.0 NA 176 365 0 73 NA NA NA NA NA 619 634 0 128 NA NA NA NA NA 932 2124 1115 269 NA NA NA NA NA 1014 2452 1173 403 NA NA NA NA
1557306000.0 10026.0 NA 204 387 0 84 NA NA NA NA NA 624 624 0 128 NA NA NA NA NA 832 2110 910 257 NA NA NA NA NA 492 1766 969 351 NA NA NA NA
1557306000.0 1003.0 NA 261 0 NA NA NA NA NA NA NA 487 0 NA NA NA NA NA NA NA 3129 638 NA NA NA NA NA NA NA 2462 968 NA NA NA NA NA NA
1557306000.0 1004.0 NA 235 107 0 0 0 0 NA NA NA 349 154 0 0 0 0 NA NA NA 1000 477 61 93 228 336 NA NA NA 1069 440 111 148 263 383 NA NA
1557306000.0 10042.0 NA 193 393 0 85 NA NA NA NA NA 578 611 0 127 NA NA NA NA NA 781 1924 913 249 NA NA NA NA NA 522 2209 978 353 NA NA NA NA
1557306000.0 10059.0 NA 201 419 0 86 NA NA NA NA NA 622 674 0 129 NA NA NA NA NA 992 2806 925 245 NA NA NA NA NA 680 2077 983 328 NA NA NA NA
1557306000.0 10071.0 NA 203 388 0 76 NA NA NA NA NA 625 611 0 129 NA NA NA NA NA 758 1984 905 247 NA NA NA NA NA 761 1793 960 361 NA NA NA NA
1557306000.0 101.0 95 NA NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA NA 843 NA NA NA NA NA NA NA NA 1215 NA NA NA NA NA NA NA NA
1557306000.0 1010.0 NA 34 40 0 NA NA NA NA NA NA 86 101 0 NA NA NA NA NA NA 113 183 151 NA NA NA NA NA NA 378 383 403 NA NA NA NA NA
1557306000.0 102.0 95 NA NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA NA 771 NA NA NA NA NA NA NA NA 1300 NA NA NA NA NA NA NA NA
1557306000.0 1020.0 NA 86 34 0 80 NA NA NA NA NA 144 73 0 143 NA NA NA NA NA 228 93 54 231 NA NA NA NA NA 332 143 91 353 NA NA NA NA
1557306000.0 10224.0 NA 338 637 0 NA NA NA NA NA NA 625 858 0 NA NA NA NA NA NA 3847 3649 914 NA NA NA NA NA NA 3166 2356 964 NA NA NA NA NA
1557306000.0 10225.0 NA 331 563 0 NA NA NA NA NA NA 626 834 0 NA NA NA NA NA NA 3570 4814 1238 NA NA NA NA NA NA 2979 3395 1441 NA NA NA NA NA
1557306000.0 103.0 48 0 0 NA NA NA NA NA NA 104 0 0 NA NA NA NA NA NA 1218 267 1522 NA NA NA NA NA NA 2328 503 3176 NA NA NA NA NA NA
1557306000.0 1030.0 NA 200 50 0 0 NA NA NA NA NA 373 97 0 0 NA NA NA NA NA 7018 258 73 60 NA NA NA NA NA 2283 243 358 292 NA NA NA NA
