Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558216800.0 1.0 50 139 113 NA NA 87 182 164 NA NA 1130 442 388 NA NA 1209 736 638 NA NA
1558216800.0 10.0 NA 155 170 0 NA NA 219 224 0 NA NA 2098 2699 864 NA NA 2176 2802 941 NA
1558216800.0 1000.0 NA 172 89 0 35 NA 239 133 0 64 NA 2257 414 367 124 NA 2671 739 525 301
1558216800.0 1001.0 NA 166 31 0 NA NA 216 62 0 NA NA 1826 41 35 NA NA 2178 193 182 NA
1558216800.0 1002.0 NA 167 50 NA NA NA 220 82 NA NA NA 1918 165 NA NA NA 2275 289 NA NA
1558216800.0 1003.0 NA 167 0 NA NA NA 231 0 NA NA NA 3320 388 NA NA NA 3693 569 NA NA
1558216800.0 101.0 87 NA NA NA NA 124 NA NA NA NA 657 NA NA NA NA 700 NA NA NA NA
1558216800.0 102.0 86 NA NA NA NA 123 NA NA NA NA 554 NA NA NA NA 607 NA NA NA NA
1558216800.0 107.0 50 153 169 NA NA 88 202 221 NA NA 1890 534 562 NA NA 1999 908 869 NA NA
1558216800.0 108.0 50 155 169 NA NA 87 202 222 NA NA 2027 543 560 NA NA 2114 913 863 NA NA
1558216800.0 109.0 52 153 173 NA NA 88 204 222 NA NA 2426 573 607 NA NA 2603 904 881 NA NA
1558216800.0 11.0 NA 149 176 0 46 NA 212 228 0 74 NA 1358 1648 883 63 NA 1687 1996 1011 144
1558216800.0 1102.0 NA 155 180 104 52 NA 218 226 153 96 NA 2692 3516 2227 218 NA 2941 3736 2489 259
1558216800.0 111.0 50 151 172 NA NA 87 201 220 NA NA 1183 462 458 NA NA 1280 794 711 NA NA
1558216800.0 112.0 51 151 171 NA NA 88 201 220 NA NA 1916 523 542 NA NA 2044 950 764 NA NA
1558216800.0 113.0 53 151 172 NA NA 90 204 221 NA NA 2430 525 580 NA NA 2598 886 872 NA NA
