Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1558216800.0 107.0 91 87 457 NA NA NA NA NA 186 369 552 NA NA NA NA NA 3960 497 709 NA NA NA NA NA 1807 510 688 NA NA NA NA NA
1558216800.0 108.0 94 91 464 NA NA NA NA NA 192 369 553 NA NA NA NA NA 4471 452 736 NA NA NA NA NA 2057 395 622 NA NA NA NA NA
1558216800.0 10823.0 66 191 654 81 0 NA NA NA 124 466 808 133 0 NA NA NA 2328 633 1078 200 1728 NA NA NA 2146 1037 1293 265 1746 NA NA NA
1558216800.0 10824.0 75 212 667 92 0 NA NA NA 134 468 834 144 0 NA NA NA 5325 875 1410 228 1789 NA NA NA 3692 916 1489 372 1828 NA NA NA
1558216800.0 10825.0 67 201 666 84 0 NA NA NA 128 481 824 133 0 NA NA NA 4183 867 1363 216 1739 NA NA NA 3740 1029 1128 263 1764 NA NA NA
1558216800.0 10826.0 76 215 682 93 0 NA NA NA 136 474 830 143 0 NA NA NA 7273 1005 1797 248 1769 NA NA NA 4687 886 1239 425 1803 NA NA NA
1558216800.0 10842.0 64 195 655 91 0 NA NA NA 119 474 811 143 0 NA NA NA 2083 531 1032 230 1759 NA NA NA 1951 867 1109 395 1780 NA NA NA
1558216800.0 109.0 93 90 463 NA NA NA NA NA 190 369 549 NA NA NA NA NA 4323 480 805 NA NA NA NA NA 1994 515 705 NA NA NA NA NA
1558216800.0 11.0 NA 97 554 0 67 NA NA NA NA 376 672 0 106 NA NA NA NA 1860 1317 528 81 NA NA NA NA 1207 913 545 190 NA NA NA
1558216800.0 1102.0 NA 113 482 131 75 NA NA NA NA 376 588 214 164 NA NA NA NA 2693 3118 1482 326 NA NA NA NA 1739 1413 630 154 NA NA NA
1558216800.0 112.0 90 87 458 NA NA NA NA NA 190 369 572 NA NA NA NA NA 3441 422 623 NA NA NA NA NA 1929 366 580 NA NA NA NA NA
1558216800.0 11224.0 72 216 677 0 NA NA NA NA 134 472 830 0 NA NA NA NA 4490 1008 1525 1765 NA NA NA NA 2120 829 1614 1789 NA NA NA NA
1558216800.0 113.0 87 90 456 NA NA NA NA NA 185 369 567 NA NA NA NA NA 3488 466 707 NA NA NA NA NA 1775 515 679 NA NA NA NA NA
1558216800.0 115.0 89 89 461 NA NA NA NA NA 187 361 569 NA NA NA NA NA 3632 482 745 NA NA NA NA NA 1894 442 727 NA NA NA NA NA
1558216800.0 116.0 79 89 457 NA NA NA NA NA 173 361 542 NA NA NA NA NA 3552 468 724 NA NA NA NA NA 2047 424 761 NA NA NA NA NA
1558216800.0 11623.0 63 191 661 80 0 NA NA NA 110 476 815 132 0 NA NA NA 1827 910 1448 250 1808 NA NA NA 2074 833 1310 613 1845 NA NA NA
1558216800.0 11625.0 65 209 675 81 0 NA NA NA 114 474 823 133 0 NA NA NA 3535 1028 1569 251 1873 NA NA NA 2752 1120 1414 337 1895 NA NA NA
1558216800.0 11626.0 75 223 683 99 0 NA NA NA 122 467 813 142 0 NA NA NA 5563 1275 1933 331 1879 NA NA NA 3135 1667 1559 453 1907 NA NA NA
1558216800.0 11642.0 59 190 655 91 0 NA NA NA 105 474 793 142 0 NA NA NA 1631 604 1143 325 1794 NA NA NA 1894 921 1695 472 1813 NA NA NA
1558216800.0 117.0 85 90 458 NA NA NA NA NA 188 369 546 NA NA NA NA NA 4094 476 778 NA NA NA NA NA 2084 601 688 NA NA NA NA NA
1558216800.0 118.0 86 89 467 NA NA NA NA NA 188 361 550 NA NA NA NA NA 4691 476 792 NA NA NA NA NA 2388 529 692 NA NA NA NA NA
1558216800.0 119.0 82 87 460 NA NA NA NA NA 181 369 556 NA NA NA NA NA 3081 410 592 NA NA NA NA NA 1494 439 600 NA NA NA NA NA
1558216800.0 12.0 NA 113 483 0 NA NA NA NA NA 376 570 0 NA NA NA NA NA 2175 2175 426 NA NA NA NA NA 1575 1028 459 NA NA NA NA
1558216800.0 120.0 58 81 449 NA NA NA NA NA 137 361 546 NA NA NA NA NA 697 407 617 NA NA NA NA NA 796 400 654 NA NA NA NA NA
1558216800.0 12024.0 70 215 685 0 NA NA NA NA 121 476 844 0 NA NA NA NA 4429 1072 1741 1866 NA NA NA NA 3168 958 1249 1889 NA NA NA NA
1558216800.0 121.0 91 89 462 NA NA NA NA NA 193 368 572 NA NA NA NA NA 4184 449 710 NA NA NA NA NA 2569 662 613 NA NA NA NA NA
1558216800.0 122.0 57 79 444 NA NA NA NA NA 129 368 550 NA NA NA NA NA 1727 243 508 NA NA NA NA NA 1603 321 575 NA NA NA NA NA
1558216800.0 123.1 320 NA NA NA NA NA NA NA 495 NA NA NA NA NA NA NA 716 NA NA NA NA NA NA NA 545 NA NA NA NA NA NA NA
1558216800.0 123.2 331 NA NA NA NA NA NA NA 506 NA NA NA NA NA NA NA 805 NA NA NA NA NA NA NA 618 NA NA NA NA NA NA NA
1558216800.0 123.3 267 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 541 NA NA NA NA NA NA NA 461 NA NA NA NA NA NA NA
1558216800.0 124.1 307 NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA 557 NA NA NA NA NA NA NA 724 NA NA NA NA NA NA NA
1558216800.0 124.2 324 NA NA NA NA NA NA NA 503 NA NA NA NA NA NA NA 731 NA NA NA NA NA NA NA 815 NA NA NA NA NA NA NA
1558216800.0 124.4 310 NA NA NA NA NA NA NA 495 NA NA NA NA NA NA NA 563 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA
1558216800.0 124.5 314 NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA 573 NA NA NA NA NA NA NA 496 NA NA NA NA NA NA NA
1558216800.0 124.6 272 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA 624 NA NA NA NA NA NA NA
1558216800.0 125.0 87 86 456 NA NA NA NA NA 187 361 564 NA NA NA NA NA 3136 445 687 NA NA NA NA NA 1735 405 699 NA NA NA NA NA
1558216800.0 126.0 59 80 451 NA NA NA NA NA 140 361 558 NA NA NA NA NA 1555 356 540 NA NA NA NA NA 1013 296 557 NA NA NA NA NA
1558216800.0 127.0 58 79 452 NA NA NA NA NA 124 368 571 NA NA NA NA NA 1600 403 642 NA NA NA NA NA 1442 544 703 NA NA NA NA NA
1558216800.0 128.0 57 81 455 NA NA NA NA NA 114 361 560 NA NA NA NA NA 1086 414 633 NA NA NA NA NA 1449 570 875 NA NA NA NA NA
1558216800.0 129.0 57 81 446 NA NA NA NA NA 130 368 551 NA NA NA NA NA 911 340 504 NA NA NA NA NA 679 334 561 NA NA NA NA NA
1558216800.0 13.0 NA 91 465 0 NA NA NA NA NA 368 576 0 NA NA NA NA NA 362 970 365 NA NA NA NA NA 798 857 376 NA NA NA NA
1558216800.0 130.0 59 82 450 NA NA NA NA NA 132 368 544 NA NA NA NA NA 1190 401 596 NA NA NA NA NA 1319 502 633 NA NA NA NA NA
1558216800.0 1301.0 83 91 178 NA NA NA NA NA 151 374 295 NA NA NA NA NA 1621 443 333 NA NA NA NA NA 1060 643 1177 NA NA NA NA NA
1558216800.0 1302.0 95 100 185 NA NA NA NA NA 166 376 279 NA NA NA NA NA 4358 611 490 NA NA NA NA NA 1821 728 1223 NA NA NA NA NA
1558216800.0 1303.0 85 101 193 NA NA NA NA NA 157 380 293 NA NA NA NA NA 7746 468 571 NA NA NA NA NA 3838 540 766 NA NA NA NA NA
1558216800.0 1306.0 NA 94 522 0 NA NA NA NA NA 388 676 0 NA NA NA NA NA 398 779 561 NA NA NA NA NA 641 2088 577 NA NA NA NA
1558216800.0 1307.0 NA 89 178 41 0 NA NA NA NA 379 258 88 0 NA NA NA NA 406 384 13 124 NA NA NA NA 644 566 56 189 NA NA NA
1558216800.0 1308.0 NA 89 176 48 0 NA NA NA NA 384 257 87 0 NA NA NA NA 443 398 12 133 NA NA NA NA 608 748 34 251 NA NA NA
1558216800.0 1309.0 NA 105 558 0 NA NA NA NA NA 381 693 0 NA NA NA NA NA 455 1008 578 NA NA NA NA NA 524 1086 599 NA NA NA NA
1558216800.0 1310.0 NA 100 547 0 NA NA NA NA NA 380 688 0 NA NA NA NA NA 426 826 571 NA NA NA NA NA 746 1030 590 NA NA NA NA
1558216800.0 1311.0 NA 94 579 0 58 NA NA NA NA 388 680 0 106 NA NA NA NA 407 678 610 59 NA NA NA NA 656 1433 628 127 NA NA NA
1558216800.0 1312.0 NA 100 569 0 NA NA NA NA NA 387 691 0 NA NA NA NA NA 527 934 705 NA NA NA NA NA 936 1068 749 NA NA NA NA
1558216800.0 1313.0 NA 104 578 0 NA NA NA NA NA 386 698 0 NA NA NA NA NA 443 1199 687 NA NA NA NA NA 657 1036 711 NA NA NA NA
1558216800.0 1314.0 NA 101 570 0 NA NA NA NA NA 384 688 0 NA NA NA NA NA 498 891 685 NA NA NA NA NA 697 1527 707 NA NA NA NA
1558216800.0 1319.0 NA 95 564 0 NA NA NA NA NA 385 662 0 NA NA NA NA NA 455 739 652 NA NA NA NA NA 514 1391 669 NA NA NA NA
1558216800.0 132.0 86 89 462 NA NA NA NA NA 180 361 557 NA NA NA NA NA 3351 517 743 NA NA NA NA NA 1495 496 696 NA NA NA NA NA
1558216800.0 1320.0 NA 93 564 0 NA NA NA NA NA 380 684 0 NA NA NA NA NA 444 663 570 NA NA NA NA NA 622 905 584 NA NA NA NA
1558216800.0 1325.0 NA 102 577 0 68 NA NA NA NA 388 689 0 116 NA NA NA NA 564 998 661 93 NA NA NA NA 743 1091 697 174 NA NA NA
1558216800.0 1325.1 NA 104 218 0 NA NA NA NA NA 381 286 0 NA NA NA NA NA 544 425 203 NA NA NA NA NA 597 701 236 NA NA NA NA
1558216800.0 1325.2 NA 104 578 0 NA NA NA NA NA 388 691 0 NA NA NA NA NA 543 961 685 NA NA NA NA NA 1094 871 734 NA NA NA NA
1558216800.0 1325.3 NA 104 207 0 NA NA NA NA NA 383 282 0 NA NA NA NA NA 514 422 184 NA NA NA NA NA 678 598 203 NA NA NA NA
1558216800.0 1325.4 NA 103 579 0 NA NA NA NA NA 380 695 0 NA NA NA NA NA 495 846 581 NA NA NA NA NA 486 715 595 NA NA NA NA
1558216800.0 1325.5 NA 135 0 NA NA NA NA NA NA 201 0 NA NA NA NA NA NA 756 23 NA NA NA NA NA NA 878 51 NA NA NA NA NA
1558216800.0 1327.0 NA 99 566 0 NA NA NA NA NA 384 684 0 NA NA NA NA NA 416 687 573 NA NA NA NA NA 439 1023 586 NA NA NA NA
1558216800.0 1328.0 NA 101 572 0 NA NA NA NA NA 380 693 0 NA NA NA NA NA 501 871 675 NA NA NA NA NA 536 1109 693 NA NA NA NA
1558216800.0 133.0 90 92 467 NA NA NA NA NA 194 361 562 NA NA NA NA NA 5697 520 909 NA NA NA NA NA 2483 532 727 NA NA NA NA NA
1558216800.0 1330.0 NA 99 570 0 NA NA NA NA NA 387 676 0 NA NA NA NA NA 488 852 712 NA NA NA NA NA 699 1369 734 NA NA NA NA
1558216800.0 1331.0 NA 97 571 0 NA NA NA NA NA 388 695 0 NA NA NA NA NA 474 806 658 NA NA NA NA NA 574 780 674 NA NA NA NA
1558216800.0 1334.0 NA 106 579 0 NA NA NA NA NA 384 689 0 NA NA NA NA NA 551 903 668 NA NA NA NA NA 548 1436 750 NA NA NA NA
1558216800.0 1336.0 NA 103 576 0 NA NA NA NA NA 381 687 0 NA NA NA NA NA 500 1238 572 NA NA NA NA NA 761 1731 588 NA NA NA NA
1558216800.0 1337.0 NA 106 577 0 NA NA NA NA NA 388 696 0 NA NA NA NA NA 554 1224 580 NA NA NA NA NA 670 1286 593 NA NA NA NA
1558216800.0 1338.0 NA 102 574 0 NA NA NA NA NA 388 694 0 NA NA NA NA NA 481 823 575 NA NA NA NA NA 507 693 590 NA NA NA NA
1558216800.0 1339.0 NA 106 585 0 NA NA NA NA NA 386 708 0 NA NA NA NA NA 582 1168 679 NA NA NA NA NA 497 892 702 NA NA NA NA
1558216800.0 134.0 NA 477 35 0 NA NA NA NA NA 557 78 0 NA NA NA NA NA 2478 8 8 NA NA NA NA NA 1239 14 14 NA NA NA NA
1558216800.0 134.701 NA 36 520 0 NA NA NA NA NA 86 601 0 NA NA NA NA NA 177 4140 618 NA NA NA NA NA 267 1693 635 NA NA NA NA
1558216800.0 134.702 NA 29 514 0 NA NA NA NA NA 91 613 0 NA NA NA NA NA 257 5315 619 NA NA NA NA NA 248 1982 636 NA NA NA NA
1558216800.0 134.703 NA 31 525 0 NA NA NA NA NA 90 617 0 NA NA NA NA NA 230 5165 570 NA NA NA NA NA 203 1988 623 NA NA NA NA
1558216800.0 134.704 NA 30 518 0 NA NA NA NA NA 89 610 0 NA NA NA NA NA 253 5361 620 NA NA NA NA NA 244 2017 651 NA NA NA NA
1558216800.0 134.705 NA 32 524 0 NA NA NA NA NA 88 614 0 NA NA NA NA NA 226 5462 581 NA NA NA NA NA 283 2030 600 NA NA NA NA
1558216800.0 134.706 NA 33 525 0 NA NA NA NA NA 92 621 0 NA NA NA NA NA 213 5924 649 NA NA NA NA NA 196 2182 704 NA NA NA NA
1558216800.0 134.707 NA 38 526 0 NA NA NA NA NA 88 616 0 NA NA NA NA NA 208 4898 582 NA NA NA NA NA 370 1870 603 NA NA NA NA
1558216800.0 134.708 NA 34 510 0 NA NA NA NA NA 90 606 0 NA NA NA NA NA 220 4675 577 NA NA NA NA NA 218 1718 593 NA NA NA NA
1558216800.0 134.709 NA 36 702 0 NA NA NA NA NA 88 797 0 NA NA NA NA NA 197 5119 593 NA NA NA NA NA 393 2009 610 NA NA NA NA
1558216800.0 134.71 NA 28 516 0 NA NA NA NA NA 84 625 0 NA NA NA NA NA 205 3424 550 NA NA NA NA NA 180 1600 569 NA NA NA NA
1558216800.0 134.801 NA 31 514 0 NA NA NA NA NA 89 608 0 NA NA NA NA NA 213 3675 556 NA NA NA NA NA 181 1487 572 NA NA NA NA
1558216800.0 134.802 NA 30 518 0 NA NA NA NA NA 93 612 0 NA NA NA NA NA 264 6805 625 NA NA NA NA NA 253 2370 641 NA NA NA NA
1558216800.0 134.803 NA 30 520 0 NA NA NA NA NA 95 610 0 NA NA NA NA NA 229 5853 561 NA NA NA NA NA 180 2082 607 NA NA NA NA
1558216800.0 134.804 NA 35 526 0 NA NA NA NA NA 89 621 0 NA NA NA NA NA 208 6449 575 NA NA NA NA NA 252 2276 592 NA NA NA NA
1558216800.0 134.805 NA 32 525 0 NA NA NA NA NA 96 621 0 NA NA NA NA NA 257 6707 612 NA NA NA NA NA 206 2345 630 NA NA NA NA
1558216800.0 134.806 NA 30 527 0 NA NA NA NA NA 92 628 0 NA NA NA NA NA 228 7215 644 NA NA NA NA NA 226 2496 660 NA NA NA NA
1558216800.0 134.807 NA 89 560 0 NA NA NA NA NA 198 683 0 NA NA NA NA NA 1348 7298 586 NA NA NA NA NA 1446 2593 635 NA NA NA NA
1558216800.0 134.808 NA 92 553 0 NA NA NA NA NA 200 686 0 NA NA NA NA NA 1441 7724 635 NA NA NA NA NA 1558 2737 653 NA NA NA NA
1558216800.0 134.809 NA 29 518 0 NA NA NA NA NA 92 609 0 NA NA NA NA NA 217 6187 608 NA NA NA NA NA 187 2226 626 NA NA NA NA
1558216800.0 134.81 NA 28 524 0 NA NA NA NA NA 87 622 0 NA NA NA NA NA 233 6241 598 NA NA NA NA NA 236 2337 646 NA NA NA NA
1558216800.0 134.811 NA 31 524 0 NA NA NA NA NA 93 616 0 NA NA NA NA NA 252 6546 610 NA NA NA NA NA 213 2253 624 NA NA NA NA
1558216800.0 134.812 NA 30 508 0 NA NA NA NA NA 86 592 0 NA NA NA NA NA 207 3813 599 NA NA NA NA NA 219 1597 617 NA NA NA NA
1558216800.0 134.813 NA 182 63 0 NA NA NA NA NA 269 111 0 NA NA NA NA NA 727 88 139 NA NA NA NA NA 658 143 197 NA NA NA NA
1558216800.0 134.901 NA 37 509 0 NA NA NA NA NA 89 597 0 NA NA NA NA NA 237 3617 566 NA NA NA NA NA 190 1514 584 NA NA NA NA
1558216800.0 134.902 NA 30 520 0 NA NA NA NA NA 91 608 0 NA NA NA NA NA 187 4962 616 NA NA NA NA NA 268 1899 636 NA NA NA NA
1558216800.0 134.903 NA 40 509 0 NA NA NA NA NA 92 604 0 NA NA NA NA NA 216 4569 606 NA NA NA NA NA 218 1789 620 NA NA NA NA
1558216800.0 134.904 NA 31 515 0 NA NA NA NA NA 96 607 0 NA NA NA NA NA 252 5172 580 NA NA NA NA NA 201 1875 663 NA NA NA NA
1558216800.0 134.905 NA 30 514 0 NA NA NA NA NA 93 598 0 NA NA NA NA NA 232 4253 560 NA NA NA NA NA 209 1809 637 NA NA NA NA
1558216800.0 134.906 NA 30 512 0 NA NA NA NA NA 90 604 0 NA NA NA NA NA 229 5036 572 NA NA NA NA NA 254 1860 588 NA NA NA NA
1558216800.0 134.907 NA 87 539 0 NA NA NA NA NA 196 676 0 NA NA NA NA NA 1185 5477 618 NA NA NA NA NA 854 2101 633 NA NA NA NA
1558216800.0 134.908 NA 91 555 0 NA NA NA NA NA 200 692 0 NA NA NA NA NA 1237 5513 630 NA NA NA NA NA 913 2174 652 NA NA NA NA
1558216800.0 134.909 NA 41 512 0 NA NA NA NA NA 95 598 0 NA NA NA NA NA 240 4582 576 NA NA NA NA NA 520 1766 597 NA NA NA NA
1558216800.0 134.91 NA 35 515 0 NA NA NA NA NA 93 606 0 NA NA NA NA NA 253 4173 576 NA NA NA NA NA 215 1638 663 NA NA NA NA
1558216800.0 134.911 NA 31 512 0 NA NA NA NA NA 90 613 0 NA NA NA NA NA 216 4579 558 NA NA NA NA NA 226 1799 577 NA NA NA NA
1558216800.0 134.912 NA 31 510 0 NA NA NA NA NA 89 588 0 NA NA NA NA NA 215 3436 594 NA NA NA NA NA 252 1533 622 NA NA NA NA
1558216800.0 134.99601 NA 31 529 0 NA NA NA NA NA 92 639 0 NA NA NA NA NA 257 6911 570 NA NA NA NA NA 326 2345 593 NA NA NA NA
1558216800.0 134.99602 NA 35 508 0 NA NA NA NA NA 92 601 0 NA NA NA NA NA 276 4377 605 NA NA NA NA NA 282 1772 622 NA NA NA NA
1558216800.0 134.99603 NA 30 520 0 NA NA NA NA NA 93 618 0 NA NA NA NA NA 259 5776 571 NA NA NA NA NA 241 2148 590 NA NA NA NA
1558216800.0 134.99901 NA 31 525 0 NA NA NA NA NA 91 611 0 NA NA NA NA NA 226 4319 544 NA NA NA NA NA 217 1680 598 NA NA NA NA
1558216800.0 1340.0 NA 98 565 0 NA NA NA NA NA 388 677 0 NA NA NA NA NA 496 682 569 NA NA NA NA NA 956 1396 614 NA NA NA NA
1558216800.0 1341.0 NA 105 582 0 NA NA NA NA NA 384 689 0 NA NA NA NA NA 545 1178 696 NA NA NA NA NA 687 869 758 NA NA NA NA
1558216800.0 1343.0 NA 100 572 0 NA NA NA NA NA 380 673 0 NA NA NA NA NA 496 908 661 NA NA NA NA NA 565 1771 678 NA NA NA NA
1558216800.0 1345.0 NA 99 575 0 NA NA NA NA NA 388 691 0 NA NA NA NA NA 468 753 573 NA NA NA NA NA 760 1151 587 NA NA NA NA
1558216800.0 1347.0 NA 98 573 0 NA NA NA NA NA 386 693 0 NA NA NA NA NA 472 787 579 NA NA NA NA NA 733 1680 591 NA NA NA NA
1558216800.0 1349.0 NA 102 570 0 NA NA NA NA NA 387 686 0 NA NA NA NA NA 507 816 675 NA NA NA NA NA 540 1225 693 NA NA NA NA
1558216800.0 135.1 340 0 95 NA NA NA NA NA 514 0 152 NA NA NA NA NA 844 148 191 NA NA NA NA NA 934 171 297 NA NA NA NA NA
1558216800.0 135.11 347 0 104 NA NA NA NA NA 517 0 155 NA NA NA NA NA 1088 148 237 NA NA NA NA NA 1028 154 361 NA NA NA NA NA
1558216800.0 135.12 332 0 94 NA NA NA NA NA 507 0 152 NA NA NA NA NA 742 151 177 NA NA NA NA NA 970 208 293 NA NA NA NA NA
1558216800.0 135.13 342 0 NA NA NA NA NA NA 552 0 NA NA NA NA NA NA 805 204 NA NA NA NA NA NA 568 317 NA NA NA NA NA NA
1558216800.0 135.2 276 0 92 NA NA NA NA NA 515 0 149 NA NA NA NA NA 526 119 144 NA NA NA NA NA 512 144 367 NA NA NA NA NA
1558216800.0 135.3 279 0 93 NA NA NA NA NA 506 0 152 NA NA NA NA NA 511 119 149 NA NA NA NA NA 474 154 460 NA NA NA NA NA
1558216800.0 135.4 328 0 97 NA NA NA NA NA 514 0 152 NA NA NA NA NA 676 131 142 NA NA NA NA NA 1147 164 212 NA NA NA NA NA
1558216800.0 135.5 326 0 96 NA NA NA NA NA 515 0 155 NA NA NA NA NA 646 130 155 NA NA NA NA NA 1009 163 507 NA NA NA NA NA
1558216800.0 135.6 324 0 96 NA NA NA NA NA 508 0 153 NA NA NA NA NA 805 131 154 NA NA NA NA NA 2009 151 221 NA NA NA NA NA
