Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1558299600.0 101.0 96 NA NA 163 NA NA 829 NA NA 1371 NA NA
1558299600.0 102.0 94 NA NA 163 NA NA 811 NA NA 1233 NA NA
1558299600.0 1329.1 NA 180 0 NA 295 0 NA 5140 149 NA 5135 550
1558299600.0 511.0 42 0 NA 110 0 NA 9223 144 NA 14611 408 NA
1558299600.0 513.0 14 32 0 58 89 0 611 191 131 2263 486 530
1558299600.0 524.0 16 42 0 59 90 0 915 349 163 1568 857 350
1558299600.0 535.0 41 0 NA 93 0 NA 931 194 NA 1919 602 NA
