Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558386000.0 101.0 89 NA NA NA NA 162 NA NA NA NA 876 NA NA NA NA 1437 NA NA NA NA
1558386000.0 102.0 88 NA NA NA NA 162 NA NA NA NA 755 NA NA NA NA 1279 NA NA NA NA
1558386000.0 1020.0 NA 70 23 0 68 NA 138 69 0 141 NA 248 122 68 262 NA 516 933 236 726
1558386000.0 1325.5 NA 167 0 NA NA NA 273 0 NA NA NA 4731 166 NA NA NA 6644 382 NA NA
1558386000.0 1329.1 NA 176 0 NA NA NA 299 0 NA NA NA 5550 166 NA NA NA 7140 603 NA NA
1558386000.0 135.8 144 NA NA NA NA 257 NA NA NA NA 460 NA NA NA NA 1421 NA NA NA NA
1558386000.0 136.733 NA 165 64 0 NA NA 290 133 0 NA NA 1113 470 295 NA NA 2126 721 698 NA
1558386000.0 136.7611 NA 177 0 NA NA NA 299 0 NA NA NA 5425 191 NA NA NA 7333 786 NA NA
1558386000.0 136.7721 NA 175 0 NA NA NA 285 0 NA NA NA 5053 170 NA NA NA 6906 918 NA NA
1558386000.0 136.7722 NA 168 0 NA NA NA 277 0 NA NA NA 5468 164 NA NA NA 5800 543 NA NA
1558386000.0 136.7802 NA 72 0 NA NA NA 136 0 NA NA NA 316 166 NA NA NA 628 407 NA NA
1558386000.0 507.0 29 0 NA NA NA 82 0 NA NA NA 204 136 NA NA NA 508 338 NA NA NA
1558386000.0 511.0 37 0 NA NA NA 109 0 NA NA NA 9551 136 NA NA NA 11922 437 NA NA NA
1558386000.0 513.0 16 38 0 NA NA 59 90 0 NA NA 779 305 161 NA NA 2137 905 309 NA NA
1558386000.0 516.0 16 36 0 NA NA 59 90 0 NA NA 764 282 163 NA NA 2047 709 327 NA NA
1558386000.0 517.0 13 39 0 NA NA 59 90 0 NA NA 908 199 134 NA NA 1570 465 332 NA NA
1558386000.0 519.0 14 35 0 NA NA 59 88 0 NA NA 825 322 163 NA NA 3354 825 320 NA NA
1558386000.0 521.0 16 36 0 NA NA 58 91 0 NA NA 754 256 167 NA NA 1724 437 450 NA NA
1558386000.0 523.0 14 44 0 NA NA 59 101 0 NA NA 1265 282 161 NA NA 6790 801 806 NA NA
1558386000.0 525.0 14 36 0 NA NA 58 90 0 NA NA 837 263 161 NA NA 2812 587 308 NA NA
1558386000.0 528.0 16 39 0 NA NA 58 90 0 NA NA 840 311 169 NA NA 2914 880 448 NA NA
1558386000.0 551.0 15 41 0 NA NA 59 90 0 NA NA 1532 237 171 NA NA 4950 496 452 NA NA
1558386000.0 555.0 14 33 0 NA NA 58 89 0 NA NA 1510 258 154 NA NA 5536 979 450 NA NA
1558386000.0 562.0 14 34 0 NA NA 59 89 0 NA NA 359 183 142 NA NA 2702 422 441 NA NA
