Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558216800.0 1303.0 65 150 182 NA 111 199 237 NA 6537 627 1745 NA 7997 1045 2614 NA
1558216800.0 136.724 NA 162 267 0 NA 238 351 0 NA 4180 8395 836 NA 5800 9430 1008
1558216800.0 136.725 NA 172 275 0 NA 236 355 0 NA 3065 7361 895 NA 3961 8106 1035
1558216800.0 136.728 NA 192 261 0 NA 283 348 0 NA 3574 7822 911 NA 5166 8930 1031
1558216800.0 136.731 NA 176 279 0 NA 238 360 0 NA 3276 7756 890 NA 4100 8644 1015
1558216800.0 136.732 NA 166 245 0 NA 230 326 0 NA 2007 5787 864 NA 2785 6477 1178
1558216800.0 1362.0 61 153 245 0 158 215 311 0 3001 485 1220 1553 6625 873 2011 1734
1558216800.0 1363.0 63 159 250 0 158 217 315 0 4205 516 1277 1468 8410 967 1886 1684
1558216800.0 13992502.0 NA 211 328 0 NA 280 414 0 NA 2632 3679 1486 NA 7769 5985 1672
1558216800.0 250202.0 NA 222 283 0 NA 360 358 0 NA 13290 3053 1337 NA 15415 3827 1486
1558216800.0 25210.0 66 210 322 0 158 285 405 0 3352 2053 3085 1500 6610 3983 5403 1706
1558216800.0 25211.0 63 205 327 0 158 285 418 0 3546 2661 3701 1415 6534 5142 6217 1538
1558216800.0 25212.0 62 203 316 0 158 286 408 0 3017 2578 3397 1376 6625 4844 5507 1479
1558216800.0 25213.0 63 203 321 0 158 284 416 0 4146 2892 3445 1521 8038 8794 8820 1664
1558216800.0 36.0 NA 78 198 0 NA 150 260 0 NA 1643 5854 426 NA 1832 6310 526
1558216800.0 4.77 NA 52 234 0 NA 92 314 0 NA 149 7468 418 NA 232 8149 655
