Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1557867600.0 136.882 NA 239 NA NA 407 NA NA 2686 NA NA 2353 NA
1557867600.0 136.883 NA 266 NA NA 450 NA NA 4943 NA NA 2827 NA
1557867600.0 136.885 NA 249 NA NA 433 NA NA 4048 NA NA 2609 NA
1557867600.0 136.886 NA 270 NA NA 443 NA NA 4058 NA NA 2580 NA
1557867600.0 136.887 NA 250 NA NA 437 NA NA 4330 NA NA 2642 NA
1557867600.0 136.888 NA 256 NA NA 427 NA NA 4302 NA NA 2671 NA
1557867600.0 136.889 NA 258 NA NA 455 NA NA 4179 NA NA 2694 NA
1557867600.0 136.89 NA 258 NA NA 420 NA NA 4406 NA NA 2661 NA
1557867600.0 136.891 NA 250 NA NA 426 NA NA 4140 NA NA 2776 NA
1557867600.0 136.892 NA 243 NA NA 422 NA NA 3590 NA NA 2472 NA
1557867600.0 136.893 NA 250 NA NA 437 NA NA 4468 NA NA 2647 NA
1557867600.0 136.894 NA 247 NA NA 421 NA NA 3169 NA NA 2481 NA
1557867600.0 136.895 NA 268 NA NA 472 NA NA 5025 NA NA 2791 NA
1557867600.0 136.896 NA 247 NA NA 417 NA NA 4335 NA NA 2546 NA
1557867600.0 136.898 NA 244 NA NA 427 NA NA 4013 NA NA 2857 NA
1557867600.0 137.8 NA 261 NA NA 428 NA NA 4016 NA NA 2543 NA
1557867600.0 139901.0 NA 182 NA NA 560 NA NA 607 NA NA 508 NA
1557867600.0 139902.0 NA 151 NA NA 558 NA NA 639 NA NA 598 NA
1557867600.0 13992501.0 NA 323 NA NA 620 NA NA 2956 NA NA 1396 NA
1557867600.0 13992502.0 NA 320 NA NA 620 NA NA 3043 NA NA 1447 NA
1557867600.0 148.0 81 214 NA 154 509 NA 8940 949 NA 5075 653 NA
1557867600.0 149.0 60 198 NA 124 598 NA 1739 561 NA 1086 467 NA
1557867600.0 200.0 NA 181 NA NA 570 NA NA 908 NA NA 722 NA
1557867600.0 202.0 NA 178 NA NA 615 NA NA 910 NA NA 742 NA
1557867600.0 203.0 NA 195 NA NA 568 NA NA 984 NA NA 718 NA
1557867600.0 204.0 79 188 NA 212 602 NA 2746 1055 NA 1219 775 NA
1557867600.0 205.0 NA 180 NA NA 569 NA NA 909 NA NA 936 NA
1557867600.0 25.0 NA 145 NA NA 601 NA NA 2716 NA NA 1190 NA
1557867600.0 250200.0 NA 322 NA NA 670 NA NA 13210 NA NA 4749 NA
1557867600.0 250200.118 63 526 NA 138 835 NA 2411 4245 NA 1175 2688 NA
1557867600.0 250200.17 NA 395 NA NA 786 NA NA 14871 NA NA 5123 NA
1557867600.0 250200.18 NA 575 NA NA 1130 NA NA 24239 NA NA 9401 NA
1557867600.0 250202.0 NA 345 NA NA 824 NA NA 13524 NA NA 4594 NA
1557867600.0 250202.1 NA 333 331 NA 619 658 NA 3321 13668 NA 1508 4725
1557867600.0 250202.118 65 506 NA 140 784 NA 3291 3969 NA 1428 2673 NA
1557867600.0 250202.17 NA 424 NA NA 772 NA NA 14942 NA NA 4997 NA
1557867600.0 250202.171 NA 357 398 NA 585 722 NA 3592 15098 NA 1737 5018
1557867600.0 250202.18 NA 569 NA NA 1130 NA NA 26173 NA NA 9974 NA
1557867600.0 250202.181 NA 417 573 NA 617 1183 NA 5048 25332 NA 2061 8981
1557867600.0 250203.0 NA 349 NA NA 668 NA NA 13973 NA NA 5111 NA
1557867600.0 250203.17 NA 397 NA NA 773 NA NA 13490 NA NA 4944 NA
1557867600.0 250203.18 NA 568 NA NA 1130 NA NA 25565 NA NA 9278 NA
1557867600.0 250204.0 NA 335 NA NA 670 NA NA 13478 NA NA 4781 NA
1557867600.0 250204.17 NA 393 NA NA 835 NA NA 14759 NA NA 5060 NA
1557867600.0 250204.18 NA 564 NA NA 1196 NA NA 24505 NA NA 8794 NA
