Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558216800.0 136.815 NA 107 343 0 NA NA NA 268 847 0 NA NA NA 651 3432 976 NA NA NA 995 4655 1594 NA NA
1558216800.0 136.819 NA 107 464 0 NA NA NA 264 1033 0 NA NA NA 667 21564 1127 NA NA NA 874 7998 1219 NA NA
1558216800.0 136.829 NA 107 466 0 NA NA NA 267 1062 0 NA NA NA 656 21897 1116 NA NA NA 2150 8133 1411 NA NA
1558216800.0 136.8311 NA 172 0 NA NA NA NA 394 0 NA NA NA NA 2201 189 NA NA NA NA 3144 1034 NA NA NA
1558216800.0 136.832 NA 109 488 0 NA NA NA 266 1037 0 NA NA NA 721 26225 1169 NA NA NA 1000 10598 1348 NA NA
1558216800.0 136.848 NA 109 443 0 NA NA NA 265 1003 0 NA NA NA 711 22005 1049 NA NA NA 788 8616 1256 NA NA
1558216800.0 136.8521 NA 175 0 NA NA NA NA 396 0 NA NA NA NA 2108 136 NA NA NA NA 2310 293 NA NA NA
1558216800.0 1361.18 70 273 408 0 NA NA 216 758 930 0 NA NA 5152 1986 2396 1943 NA NA 3184 1887 2618 2209 NA NA
1558216800.0 1362.18 69 276 404 0 NA NA 217 805 895 0 NA NA 8670 2000 2439 1907 NA NA 4480 1828 2566 1969 NA NA
1558216800.0 1363.0 87 155 349 0 NA NA 246 690 835 0 NA NA 8551 541 2058 617 NA NA 4345 523 2314 701 NA NA
1558216800.0 1363.18 70 274 413 0 NA NA 214 803 813 0 NA NA 9114 1982 2412 1901 NA NA 4790 1721 2720 2026 NA NA
1558216800.0 140.53 NA 307 0 NA NA NA NA 559 0 NA NA NA NA 3064 315 NA NA NA NA 1421 370 NA NA NA
1558216800.0 144.6 NA 298 NA NA NA NA NA 798 NA NA NA NA NA 2814 NA NA NA NA NA 2453 NA NA NA NA
1558216800.0 2017.2 334 0 130 NA NA NA 1023 0 324 NA NA NA 1517 311 699 NA NA NA 1909 419 1980 NA NA NA
1558216800.0 2017.4 379 0 123 NA NA NA 1024 0 321 NA NA NA 1607 327 699 NA NA NA 2577 562 1022 NA NA NA
1558216800.0 2018.13 404 0 NA NA NA NA 989 0 NA NA NA NA 1502 317 NA NA NA NA 1235 383 NA NA NA NA
1558216800.0 2018.8 187 NA NA NA NA NA 391 NA NA NA NA NA 531 NA NA NA NA NA 682 NA NA NA NA NA
1558216800.0 250399.17 297 NA NA NA NA NA 707 NA NA NA NA NA 1532 NA NA NA NA NA 1307 NA NA NA NA NA
1558216800.0 250402.0 367 0 141 NA NA NA 942 0 325 NA NA NA 1668 266 659 NA NA NA 1795 375 708 NA NA NA
1558216800.0 250406.0 368 0 138 NA NA NA 983 0 320 NA NA NA 1426 256 600 NA NA NA 1759 396 682 NA NA NA
1558216800.0 4.22 NA 158 69 69 0 NA NA 389 199 204 0 NA NA 1298 328 455 343 NA NA 2337 1169 735 510 NA
1558216800.0 4.28 NA 68 314 0 NA NA NA 194 759 0 NA NA NA 291 3060 2452 NA NA NA 779 3064 2675 NA NA
1558216800.0 4007.0 42 0 0 NA NA NA 168 0 0 NA NA NA 500 261 1777 NA NA NA 1324 615 2535 NA NA NA
1558216800.0 5.2 251 0 NA NA NA NA 993 0 NA NA NA NA 1169 242 NA NA NA NA 1378 514 NA NA NA NA
1558216800.0 5.3 248 0 NA NA NA NA 992 0 NA NA NA NA 1206 245 NA NA NA NA 1890 440 NA NA NA NA
1558216800.0 5.7 313 0 NA NA NA NA 992 0 NA NA NA NA 1277 253 NA NA NA NA 1154 311 NA NA NA NA
1558216800.0 503.0 29 0 NA NA NA NA 151 0 NA NA NA NA 204 134 NA NA NA NA 447 280 NA NA NA NA
1558216800.0 504.0 36 0 NA NA NA NA 152 0 NA NA NA NA 174 131 NA NA NA NA 558 266 NA NA NA NA
1558216800.0 505.0 32 0 NA NA NA NA 153 0 NA NA NA NA 172 131 NA NA NA NA 843 644 NA NA NA NA
1558216800.0 506.0 31 0 NA NA NA NA 153 0 NA NA NA NA 168 128 NA NA NA NA 617 215 NA NA NA NA
1558216800.0 507.0 28 0 NA NA NA NA 151 0 NA NA NA NA 198 131 NA NA NA NA 541 260 NA NA NA NA
1558216800.0 508.0 33 0 NA NA NA NA 152 0 NA NA NA NA 165 130 NA NA NA NA 479 307 NA NA NA NA
1558216800.0 509.0 29 0 NA NA NA NA 147 0 NA NA NA NA 161 134 NA NA NA NA 425 318 NA NA NA NA
1558216800.0 510.0 29 0 NA NA NA NA 152 0 NA NA NA NA 270 132 NA NA NA NA 620 239 NA NA NA NA
1558216800.0 511.0 36 0 NA NA NA NA 174 0 NA NA NA NA 10279 167 NA NA NA NA 13515 793 NA NA NA NA
1558216800.0 512.0 13 32 0 NA NA NA 111 157 0 NA NA NA 2140 191 131 NA NA NA 33646 461 237 NA NA NA
1558216800.0 513.0 13 32 0 NA NA NA 112 158 0 NA NA NA 615 189 130 NA NA NA 6591 736 322 NA NA NA
1558216800.0 514.0 13 39 0 NA NA NA 112 158 0 NA NA NA 373 203 130 NA NA NA 747 596 340 NA NA NA
1558216800.0 515.0 13 32 0 NA NA NA 112 157 0 NA NA NA 2136 192 130 NA NA NA 33585 572 375 NA NA NA
1558216800.0 516.0 13 34 0 NA NA NA 112 157 0 NA NA NA 660 233 189 NA NA NA 3004 746 889 NA NA NA
1558216800.0 517.0 13 33 0 NA NA NA 112 158 0 NA NA NA 893 197 129 NA NA NA 1243 603 282 NA NA NA
1558216800.0 518.0 13 37 0 NA NA NA 112 157 0 NA NA NA 2131 182 132 NA NA NA 33615 582 245 NA NA NA
1558216800.0 519.0 13 38 0 NA NA NA 112 157 0 NA NA NA 709 244 177 NA NA NA 4775 1018 761 NA NA NA
1558216800.0 520.0 13 32 0 NA NA NA 112 159 0 NA NA NA 894 228 130 NA NA NA 1258 693 269 NA NA NA
1558216800.0 521.0 13 33 0 NA NA NA 112 158 0 NA NA NA 679 234 184 NA NA NA 2201 882 1022 NA NA NA
1558216800.0 522.0 13 32 0 NA NA NA 112 158 0 NA NA NA 2121 190 130 NA NA NA 32159 506 281 NA NA NA
1558216800.0 523.0 14 43 0 NA NA NA 112 168 0 NA NA NA 1082 255 185 NA NA NA 7985 830 717 NA NA NA
1558216800.0 524.0 13 36 0 NA NA NA 112 160 0 NA NA NA 873 206 130 NA NA NA 1451 500 283 NA NA NA
1558216800.0 525.0 13 32 0 NA NA NA 112 158 0 NA NA NA 608 192 126 NA NA NA 6354 426 229 NA NA NA
1558216800.0 526.0 13 31 0 NA NA NA 112 157 0 NA NA NA 2138 198 129 NA NA NA 33612 613 225 NA NA NA
1558216800.0 527.0 13 39 0 NA NA NA 112 159 0 NA NA NA 892 196 132 NA NA NA 1278 576 254 NA NA NA
1558216800.0 528.0 13 37 0 NA NA NA 112 158 0 NA NA NA 669 242 177 NA NA NA 3871 1602 838 NA NA NA
1558216800.0 529.0 13 31 0 NA NA NA 112 157 0 NA NA NA 2137 186 133 NA NA NA 33254 398 678 NA NA NA
1558216800.0 530.0 13 33 0 NA NA NA 112 164 0 NA NA NA 894 202 134 NA NA NA 1304 588 336 NA NA NA
1558216800.0 531.0 44 0 NA NA NA NA 263 0 NA NA NA NA 162 128 NA NA NA NA 562 258 NA NA NA NA
1558216800.0 534.0 34 0 NA NA NA NA 170 0 NA NA NA NA 194 132 NA NA NA NA 614 273 NA NA NA NA
1558216800.0 535.0 38 0 NA NA NA NA 158 0 NA NA NA NA 689 127 NA NA NA NA 1779 428 NA NA NA NA
1558216800.0 536.0 37 0 NA NA NA NA 171 0 NA NA NA NA 278 131 NA NA NA NA 783 362 NA NA NA NA
1558216800.0 541.0 43 0 NA NA NA NA 163 0 NA NA NA NA 180 129 NA NA NA NA 546 235 NA NA NA NA
1558216800.0 545.0 40 0 NA NA NA NA 163 0 NA NA NA NA 222 130 NA NA NA NA 469 494 NA NA NA NA
1558216800.0 551.0 16 33 0 NA NA NA 112 158 0 NA NA NA 1346 237 175 NA NA NA 4353 926 519 NA NA NA
1558216800.0 552.0 13 35 0 NA NA NA 112 158 0 NA NA NA 886 206 132 NA NA NA 1456 539 289 NA NA NA
1558216800.0 554.0 13 34 0 NA NA NA 112 158 0 NA NA NA 1696 264 171 NA NA NA 4046 1187 743 NA NA NA
1558216800.0 556.0 14 33 0 NA NA NA 112 163 0 NA NA NA 341 201 132 NA NA NA 931 939 397 NA NA NA
1558216800.0 560.0 35 0 NA NA NA NA 153 0 NA NA NA NA 176 130 NA NA NA NA 519 260 NA NA NA NA
1558216800.0 561.0 31 0 NA NA NA NA 152 0 NA NA NA NA 168 128 NA NA NA NA 490 270 NA NA NA NA
1558216800.0 562.0 13 37 0 NA NA NA 112 157 0 NA NA NA 329 176 131 NA NA NA 2360 441 329 NA NA NA
1558216800.0 8.0 NA 124 156 43 0 NA NA 677 348 164 0 NA NA 1724 680 175 300 NA NA 1098 1205 368 543 NA
1558216800.0 8.1 54 237 222 44 0 NA 190 756 503 175 0 NA 685 1841 914 235 770 NA 1619 2852 2198 626 1611 NA
