Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1557612000.0 1.0 87 79 192 NA NA NA NA NA 186 360 320 NA NA NA NA NA 1907 564 1110 NA NA NA NA NA 2195 879 1280 NA NA NA NA NA
1557612000.0 10.0 NA 121 466 0 NA NA NA NA NA 368 566 0 NA NA NA NA NA 3266 3826 738 NA NA NA NA NA 2375 2331 897 NA NA NA NA
1557612000.0 1000.0 NA 394 162 0 50 NA NA NA NA 519 261 0 89 NA NA NA NA 2670 1299 700 299 NA NA NA NA 1771 1136 774 469 NA NA NA
1557612000.0 10001.0 NA 190 658 83 0 NA NA NA NA 478 792 134 0 NA NA NA NA 1818 2504 443 1942 NA NA NA NA 7904 6964 1114 2520 NA NA NA
1557612000.0 10002.0 NA 193 664 83 0 NA NA NA NA 487 818 136 0 NA NA NA NA 1523 2373 397 1919 NA NA NA NA 1870 4464 604 2046 NA NA NA
1557612000.0 10003.0 NA 195 667 84 0 NA NA NA NA 484 828 134 0 NA NA NA NA 1518 2386 390 1918 NA NA NA NA 1871 2595 507 1987 NA NA NA
1557612000.0 10004.0 NA 200 665 83 0 NA NA NA NA 479 813 136 0 NA NA NA NA 2180 3449 634 2395 NA NA NA NA 2858 6810 959 2510 NA NA NA
1557612000.0 10005.0 NA 200 658 90 0 NA NA NA NA 471 820 135 0 NA NA NA NA 2197 3491 643 2522 NA NA NA NA 2806 8306 1248 2761 NA NA NA
1557612000.0 10006.0 NA 217 660 83 0 NA NA NA NA 471 806 135 0 NA NA NA NA 2282 3442 578 2500 NA NA NA NA 5384 5712 765 2698 NA NA NA
1557612000.0 10007.0 NA 189 660 93 0 NA NA NA NA 478 826 144 0 NA NA NA NA 1504 2351 411 1926 NA NA NA NA 2687 2425 519 2002 NA NA NA
1557612000.0 10008.0 NA 191 666 98 0 NA NA NA NA 485 817 145 0 NA NA NA NA 1655 2638 470 1963 NA NA NA NA 4450 6828 1457 2167 NA NA NA
1557612000.0 10009.0 NA 191 664 95 0 NA NA NA NA 491 799 145 0 NA NA NA NA 1522 2394 400 1926 NA NA NA NA 1923 2913 522 2059 NA NA NA
1557612000.0 1001.0 NA 359 177 0 0 0 0 0 NA 457 231 0 0 0 0 0 NA 2428 493 72 87 249 121 247 NA 1669 559 164 187 352 206 341
1557612000.0 1002.0 NA 416 77 NA NA NA NA NA NA 514 123 NA NA NA NA NA NA 2970 354 NA NA NA NA NA NA 2283 371 NA NA NA NA NA
1557612000.0 10023.0 NA 216 661 83 0 NA NA NA NA 480 823 133 0 NA NA NA NA 2221 3456 636 2503 NA NA NA NA 2867 6735 977 2715 NA NA NA
1557612000.0 10024.0 NA 241 678 104 0 NA NA NA NA 484 847 147 0 NA NA NA NA 2593 3828 592 2521 NA NA NA NA 5478 5599 766 2752 NA NA NA
1557612000.0 10024.1 NA 211 274 0 NA NA NA NA NA 477 381 0 NA NA NA NA NA 1782 921 357 NA NA NA NA NA 3014 1206 500 NA NA NA NA
1557612000.0 10024.2 NA 213 676 0 NA NA NA NA NA 486 839 0 NA NA NA NA NA 1862 2948 2079 NA NA NA NA NA 2643 2983 2182 NA NA NA NA
1557612000.0 10024.3 NA 214 242 0 NA NA NA NA NA 485 337 0 NA NA NA NA NA 1841 905 339 NA NA NA NA NA 3012 1536 588 NA NA NA NA
1557612000.0 10024.4 NA 214 677 0 NA NA NA NA NA 488 844 0 NA NA NA NA NA 1883 2772 1986 NA NA NA NA NA 5278 2953 2182 NA NA NA NA
1557612000.0 10024.5 NA 211 262 0 NA NA NA NA NA 485 371 0 NA NA NA NA NA 1719 853 335 NA NA NA NA NA 2236 1010 467 NA NA NA NA
1557612000.0 10024.6 NA 215 669 0 NA NA NA NA NA 484 838 0 NA NA NA NA NA 1707 2576 1916 NA NA NA NA NA 2153 2431 2001 NA NA NA NA
1557612000.0 10025.0 NA 203 674 93 0 NA NA NA NA 488 832 136 0 NA NA NA NA 1573 2410 454 1944 NA NA NA NA 2230 3053 798 2045 NA NA NA
1557612000.0 10026.0 NA 234 685 99 0 NA NA NA NA 479 845 145 0 NA NA NA NA 2710 3924 660 2601 NA NA NA NA 3317 4693 924 2830 NA NA NA
1557612000.0 1003.0 NA 313 0 NA NA NA NA NA NA 407 0 NA NA NA NA NA NA 3176 487 NA NA NA NA NA NA 1904 560 NA NA NA NA NA
1557612000.0 1004.0 NA 308 168 0 0 0 0 NA NA 409 213 0 0 0 0 NA NA 1155 353 82 108 278 279 NA NA 3920 561 174 256 485 505 NA
1557612000.0 10042.0 NA 202 675 94 0 NA NA NA NA 484 812 146 0 NA NA NA NA 1819 2857 483 2187 NA NA NA NA 2632 4823 767 2741 NA NA NA
1557612000.0 10059.0 NA 221 683 93 0 NA NA NA NA 492 853 146 0 NA NA NA NA 1863 3171 417 1975 NA NA NA NA 2083 3788 568 2105 NA NA NA
1557612000.0 10071.0 NA 204 672 94 0 NA NA NA NA 482 834 136 0 NA NA NA NA 1757 2633 417 1993 NA NA NA NA 4268 3422 612 2271 NA NA NA
1557612000.0 101.0 84 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 894 NA NA NA NA NA NA NA 1026 NA NA NA NA NA NA NA
1557612000.0 1010.0 NA 24 69 0 NA NA NA NA NA 71 121 0 NA NA NA NA NA 137 235 113 NA NA NA NA NA 773 863 196 NA NA NA NA
1557612000.0 102.0 82 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 788 NA NA NA NA NA NA NA 1544 NA NA NA NA NA NA NA
1557612000.0 1020.0 NA 44 NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA 249 NA NA NA NA NA NA NA 805 NA NA NA NA NA NA
1557612000.0 10224.0 NA 405 973 0 NA NA NA NA NA 588 1201 0 NA NA NA NA NA 6706 4637 1548 NA NA NA NA NA 6077 3245 1591 NA NA NA NA
1557612000.0 10225.0 NA 396 940 0 NA NA NA NA NA 560 1135 0 NA NA NA NA NA 6267 4311 1555 NA NA NA NA NA 6107 3182 1595 NA NA NA NA
1557612000.0 103.0 43 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 1086 378 1980 NA NA NA NA NA 1207 684 2503 NA NA NA NA NA
1557612000.0 1030.0 NA 181 46 0 NA NA NA NA NA 316 86 0 NA NA NA NA NA 14909 306 96 NA NA NA NA NA 7005 370 450 NA NA NA NA
1557612000.0 10424.0 NA 210 680 0 NA NA NA NA NA 483 846 0 NA NA NA NA NA 1634 2596 1952 NA NA NA NA NA 2710 2700 2015 NA NA NA NA
1557612000.0 105.0 95 85 24 NA NA NA NA NA 186 360 66 NA NA NA NA NA 1505 599 116 NA NA NA NA NA 1649 607 249 NA NA NA NA NA
1557612000.0 106.0 51 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 786 250 1411 NA NA NA NA NA 962 241 1889 NA NA NA NA NA
1557612000.0 107.0 88 86 434 NA NA NA NA NA 186 360 533 NA NA NA NA NA 4018 591 1978 NA NA NA NA NA 2905 1655 2166 NA NA NA NA NA
1557612000.0 108.0 95 89 439 NA NA NA NA NA 193 360 539 NA NA NA NA NA 4321 560 1818 NA NA NA NA NA 2517 512 1830 NA NA NA NA NA
1557612000.0 10823.0 65 192 660 84 0 NA NA NA 125 477 820 134 0 NA NA NA 1952 1658 2638 467 1931 NA NA NA 3155 4139 6363 1335 2363 NA NA NA
1557612000.0 10824.0 72 216 684 104 0 NA NA NA 135 472 851 147 0 NA NA NA 5218 1826 2961 441 2036 NA NA NA 6851 4295 3035 646 2277 NA NA NA
1557612000.0 10825.0 72 232 677 88 0 NA NA NA 130 486 834 136 0 NA NA NA 3487 1535 2359 384 1862 NA NA NA 1522 1735 2382 503 1935 NA NA NA
1557612000.0 10826.0 78 219 690 96 0 NA NA NA 141 464 857 146 0 NA NA NA 6659 1771 2812 416 1843 NA NA NA 3344 2883 2452 542 1944 NA NA NA
1557612000.0 10842.0 62 194 663 98 0 NA NA NA 120 480 800 146 0 NA NA NA 1500 1396 2344 407 1931 NA NA NA 1162 2596 2948 539 2004 NA NA NA
1557612000.0 109.0 91 88 442 NA NA NA NA NA 190 367 544 NA NA NA NA NA 5801 612 1961 NA NA NA NA NA 5334 1769 2390 NA NA NA NA NA
1557612000.0 11.0 NA 97 467 0 58 NA NA NA NA 374 600 0 104 NA NA NA NA 1913 1912 659 265 NA NA NA NA 3045 1939 1071 778 NA NA NA
1557612000.0 110.0 61 81 432 NA NA NA NA NA 128 360 537 NA NA NA NA NA 1722 605 1554 NA NA NA NA NA 2132 1331 1814 NA NA NA NA NA
1557612000.0 1102.0 NA 112 466 138 81 NA NA NA NA 367 571 224 163 NA NA NA NA 2838 4551 1773 448 NA NA NA NA 2438 2681 1033 344 NA NA NA
1557612000.0 111.0 82 85 429 NA NA NA NA NA 184 360 543 NA NA NA NA NA 1967 482 1872 NA NA NA NA NA 1936 1495 2232 NA NA NA NA NA
1557612000.0 112.0 90 87 410 NA NA NA NA NA 191 360 553 NA NA NA NA NA 2997 610 2122 NA NA NA NA NA 2878 1151 2818 NA NA NA NA NA
1557612000.0 11224.0 78 239 690 0 NA NA NA NA 136 471 847 0 NA NA NA NA 8056 2444 3582 2297 NA NA NA NA 6306 4428 3562 2575 NA NA NA NA
1557612000.0 113.0 88 85 433 NA NA NA NA NA 187 360 549 NA NA NA NA NA 3648 596 1938 NA NA NA NA NA 2744 725 2119 NA NA NA NA NA
1557612000.0 114.0 84 86 434 NA NA NA NA NA 182 360 558 NA NA NA NA NA 3321 582 1885 NA NA NA NA NA 3337 1705 2711 NA NA NA NA NA
1557612000.0 115.0 86 87 436 NA NA NA NA NA 183 367 542 NA NA NA NA NA 3428 514 1788 NA NA NA NA NA 2125 695 1904 NA NA NA NA NA
1557612000.0 116.0 85 84 432 NA NA NA NA NA 183 360 532 NA NA NA NA NA 3644 606 1944 NA NA NA NA NA 2886 905 2038 NA NA NA NA NA
1557612000.0 11623.0 66 192 661 92 0 NA NA NA 111 480 836 134 0 NA NA NA 1987 1815 2656 456 2014 NA NA NA 2863 7037 3255 1074 2255 NA NA NA
1557612000.0 11624.0 71 214 689 101 0 NA NA NA 121 480 830 145 0 NA NA NA 5158 1997 3022 528 2095 NA NA NA 4493 4362 3164 762 2597 NA NA NA
1557612000.0 11625.0 68 230 278 91 0 NA NA NA 115 480 847 137 0 NA NA NA 2622 1683 3382 402 1967 NA NA NA 1756 2466 6576 483 2047 NA NA NA
1557612000.0 11626.0 72 225 694 101 0 NA NA NA 123 482 853 144 0 NA NA NA 7551 2261 3379 534 2128 NA NA NA 6434 4684 3399 801 2305 NA NA NA
1557612000.0 11642.0 56 195 519 96 0 NA NA NA 105 480 840 145 0 NA NA NA 942 1447 2564 485 1950 NA NA NA 1954 2700 3200 637 2037 NA NA NA
1557612000.0 117.0 85 86 436 NA NA NA NA NA 192 367 540 NA NA NA NA NA 4299 647 2105 NA NA NA NA NA 2589 1645 2987 NA NA NA NA NA
1557612000.0 118.0 87 88 437 NA NA NA NA NA 188 360 540 NA NA NA NA NA 4310 554 1836 NA NA NA NA NA 2297 621 2112 NA NA NA NA NA
1557612000.0 119.0 83 85 433 NA NA NA NA NA 182 360 548 NA NA NA NA NA 3087 578 1940 NA NA NA NA NA 1818 1040 2265 NA NA NA NA NA
1557612000.0 12.0 NA 119 461 0 NA NA NA NA NA 375 571 0 NA NA NA NA NA 2984 3705 773 NA NA NA NA NA 2648 2444 959 NA NA NA NA
1557612000.0 120.0 68 81 421 NA NA NA NA NA 146 368 532 NA NA NA NA NA 727 536 1539 NA NA NA NA NA 609 1036 1840 NA NA NA NA NA
1557612000.0 12024.0 71 232 703 0 NA NA NA NA 122 464 862 0 NA NA NA NA 3565 1766 2719 1953 NA NA NA NA 3399 1868 2471 2042 NA NA NA NA
1557612000.0 121.0 90 87 437 NA NA NA NA NA 189 367 542 NA NA NA NA NA 3878 542 1830 NA NA NA NA NA 2209 597 1853 NA NA NA NA NA
1557612000.0 122.0 52 77 418 NA NA NA NA NA 109 368 533 NA NA NA NA NA 1273 471 1601 NA NA NA NA NA 2074 1010 2621 NA NA NA NA NA
1557612000.0 123.1 341 NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA 1254 NA NA NA NA NA NA NA 1094 NA NA NA NA NA NA NA
1557612000.0 123.2 353 NA NA NA NA NA NA NA 506 NA NA NA NA NA NA NA 1321 NA NA NA NA NA NA NA 1278 NA NA NA NA NA NA NA
1557612000.0 123.3 268 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 1086 NA NA NA NA NA NA NA 1051 NA NA NA NA NA NA NA
1557612000.0 124.1 315 NA NA NA NA NA NA NA 512 NA NA NA NA NA NA NA 1119 NA NA NA NA NA NA NA 1126 NA NA NA NA NA NA NA
