Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558216800.0 1325.5 NA 166 0 NA NA 272 0 NA NA 5141 151 NA NA 6723 377 NA
1558216800.0 136.7611 NA 176 0 NA NA 290 0 NA NA 5690 153 NA NA 6351 662 NA
1558216800.0 136.7721 NA 172 0 NA NA 283 0 NA NA 5391 148 NA NA 6212 391 NA
1558216800.0 145.0 76 188 218 0 141 647 348 0 4069 771 927 403 3665 2341 3027 1631
1558216800.0 513.0 19 45 0 NA 68 93 0 NA 785 208 160 NA 2581 808 693 NA
1558216800.0 521.0 19 40 0 NA 68 94 0 NA 665 186 137 NA 2433 799 334 NA
1558216800.0 528.0 19 40 0 NA 68 92 0 NA 766 210 162 NA 2210 898 601 NA
