Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1558216800.0 1000.0 NA 326 179 0 54 NA NA NA NA NA 638 290 0 100 NA NA NA NA NA 3097 1339 919 338 NA NA NA NA NA 2694 1582 1251 926 NA NA NA NA
1558216800.0 10001.0 NA 176 377 0 70 NA NA NA NA NA 611 742 0 128 NA NA NA NA NA 788 1921 1215 390 NA NA NA NA NA 756 2065 1575 718 NA NA NA NA
1558216800.0 10006.0 NA 180 377 0 69 NA NA NA NA NA 611 751 0 127 NA NA NA NA NA 721 1831 1185 285 NA NA NA NA NA 861 1884 1246 651 NA NA NA NA
1558216800.0 10008.0 NA 180 390 0 72 NA NA NA NA NA 566 767 0 129 NA NA NA NA NA 718 1993 1269 273 NA NA NA NA NA 848 2238 1480 483 NA NA NA NA
1558216800.0 1001.0 NA 274 115 0 0 0 0 0 0 NA 631 182 0 0 0 0 0 0 NA 2861 678 98 80 223 654 122 671 NA 2633 1493 212 144 509 823 252 992
1558216800.0 1001.2 NA 397 141 0 NA NA NA NA NA NA 759 209 0 NA NA NA NA NA NA 13960 1745 114 NA NA NA NA NA NA 4861 1443 221 NA NA NA NA NA
1558216800.0 1002.0 NA 310 71 NA NA NA NA NA NA NA 618 138 NA NA NA NA NA NA NA 3735 525 NA NA NA NA NA NA NA 3396 559 NA NA NA NA NA NA
1558216800.0 10023.0 NA 182 366 0 77 NA NA NA NA NA 610 750 0 125 NA NA NA NA NA 721 1963 1233 282 NA NA NA NA NA 642 2406 1759 668 NA NA NA NA
1558216800.0 10024.0 NA 187 394 0 73 NA NA NA NA NA 612 761 0 129 NA NA NA NA NA 899 2327 1324 290 NA NA NA NA NA 726 2122 1388 505 NA NA NA NA
1558216800.0 10024.1 NA 179 185 0 NA NA NA NA NA NA 566 338 0 NA NA NA NA NA NA 1048 1070 801 NA NA NA NA NA NA 1550 2320 1227 NA NA NA NA NA
1558216800.0 10025.0 NA 183 394 0 72 NA NA NA NA NA 611 657 0 130 NA NA NA NA NA 747 2015 1287 283 NA NA NA NA NA 657 1918 1428 520 NA NA NA NA
1558216800.0 10026.0 NA 189 397 0 72 NA NA NA NA NA 567 701 0 132 NA NA NA NA NA 842 2532 1356 295 NA NA NA NA NA 1012 2233 1517 642 NA NA NA NA
1558216800.0 1004.0 NA 219 97 0 0 0 0 NA NA NA 338 153 0 0 0 0 NA NA NA 1103 505 103 188 818 814 NA NA NA 1376 1009 297 641 918 1105 NA NA
1558216800.0 10042.0 NA 180 383 0 70 NA NA NA NA NA 522 752 0 131 NA NA NA NA NA 880 2130 1333 310 NA NA NA NA NA 1085 3063 1688 557 NA NA NA NA
1558216800.0 10059.0 NA 191 409 0 77 NA NA NA NA NA 611 728 0 132 NA NA NA NA NA 880 3056 1311 297 NA NA NA NA NA 696 2172 1383 547 NA NA NA NA
1558216800.0 10071.0 NA 188 394 0 81 NA NA NA NA NA 566 739 0 130 NA NA NA NA NA 810 2384 1321 286 NA NA NA NA NA 677 3128 1656 436 NA NA NA NA
1558216800.0 101.0 87 NA NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA NA 983 NA NA NA NA NA NA NA NA 1822 NA NA NA NA NA NA NA NA
1558216800.0 1010.0 NA 23 33 0 NA NA NA NA NA NA 85 99 0 NA NA NA NA NA NA 166 270 224 NA NA NA NA NA NA 799 779 462 NA NA NA NA NA
1558216800.0 102.0 92 NA NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA NA 870 NA NA NA NA NA NA NA NA 1585 NA NA NA NA NA NA NA NA
1558216800.0 1020.0 NA 67 22 0 62 NA NA NA NA NA 140 70 0 138 NA NA NA NA NA 367 189 98 417 NA NA NA NA NA 1092 1108 352 912 NA NA NA NA
1558216800.0 1030.0 NA 184 45 0 0 NA NA NA NA NA 396 98 0 0 NA NA NA NA NA 7653 342 85 77 NA NA NA NA NA 3611 536 375 238 NA NA NA NA
1558216800.0 1040.0 NA 359 28 0 NA NA NA NA NA NA 821 73 0 NA NA NA NA NA NA 12769 160 140 NA NA NA NA NA NA 4643 213 297 NA NA NA NA NA
1558216800.0 1040.1 NA 61 25 0 NA NA NA NA NA NA 127 74 0 NA NA NA NA NA NA 505 174 144 NA NA NA NA NA NA 1140 497 379 NA NA NA NA NA
