Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1558299600.0 506.0 31 0 NA NA NA NA NA 84 0 NA NA NA NA NA 298 250 NA NA NA NA NA 646 606 NA NA NA NA NA
1558299600.0 507.0 30 0 NA NA NA NA NA 85 0 NA NA NA NA NA 530 227 NA NA NA NA NA 1194 480 NA NA NA NA NA
1558299600.0 508.0 33 0 NA NA NA NA NA 84 0 NA NA NA NA NA 293 241 NA NA NA NA NA 535 522 NA NA NA NA NA
1558299600.0 509.0 29 0 NA NA NA NA NA 83 0 NA NA NA NA NA 399 241 NA NA NA NA NA 1025 521 NA NA NA NA NA
1558299600.0 510.0 31 0 NA NA NA NA NA 84 0 NA NA NA NA NA 534 261 NA NA NA NA NA 1228 587 NA NA NA NA NA
1558299600.0 511.0 36 0 NA NA NA NA NA 111 0 NA NA NA NA NA 24202 207 NA NA NA NA NA 37195 321 NA NA NA NA NA
1558299600.0 512.0 14 31 0 NA NA NA NA 60 94 0 NA NA NA NA 2481 514 216 NA NA NA NA 19352 1000 441 NA NA NA NA
1558299600.0 513.0 12 35 0 NA NA NA NA 60 93 0 NA NA NA NA 859 266 221 NA NA NA NA 2719 1022 1559 NA NA NA NA
1558299600.0 514.0 14 33 0 NA NA NA NA 60 95 0 NA NA NA NA 598 564 275 NA NA NA NA 2311 1190 565 NA NA NA NA
1558299600.0 515.0 14 30 0 NA NA NA NA 60 93 0 NA NA NA NA 2573 416 224 NA NA NA NA 20185 972 530 NA NA NA NA
