Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558216800.0 10.0 NA 136 297 0 NA 590 451 0 NA 2917 5732 1032 NA 2320 5955 1474
1558216800.0 1001.2 NA 395 135 0 NA 625 215 0 NA 12911 1543 113 NA 4253 1676 370
1558216800.0 1002.0 NA 307 91 NA NA 421 135 NA NA 2856 351 NA NA 2601 331 NA
1558216800.0 10024.4 NA 172 378 0 NA 519 543 0 NA 1179 3345 2088 NA 1439 3738 2950
1558216800.0 10024.5 NA 167 153 0 NA 563 243 0 NA 803 559 167 NA 614 795 372
1558216800.0 1003.0 NA 252 0 NA NA 400 0 NA NA 3018 665 NA NA 1747 934 NA
1558216800.0 101.0 92 NA NA NA 160 NA NA NA 910 NA NA NA 1376 NA NA NA
1558216800.0 102.0 94 NA NA NA 160 NA NA NA 780 NA NA NA 1183 NA NA NA
1558216800.0 108.0 107 103 280 NA 213 584 409 NA 5992 1197 3280 NA 2886 1085 3790 NA
1558216800.0 10824.1 NA 300 196 0 NA 682 332 0 NA 2733 1497 543 NA 3417 2556 778
1558216800.0 10824.5 NA 291 165 0 NA 692 245 0 NA 1903 542 129 NA 1843 1226 415
1558216800.0 11224.6 NA 279 416 0 NA 605 604 0 NA 1859 2264 2063 NA 3380 3408 2639
1558216800.0 113.0 98 105 289 NA 215 583 418 NA 1768 459 1780 NA 1701 788 2612 NA
1558216800.0 114.0 114 108 291 NA 211 584 424 NA 2121 495 1790 NA 1035 461 2297 NA
1558216800.0 117.0 107 96 286 NA 219 538 429 NA 5182 1147 3238 NA 3586 946 3762 NA
1558216800.0 118.0 106 97 280 NA 211 537 427 NA 6039 1205 3367 NA 3897 1104 3945 NA
1558216800.0 12.0 NA 127 297 0 NA 545 445 0 NA 3177 5980 1032 NA 2260 5891 1529
1558216800.0 120.0 66 96 270 NA 132 583 421 NA 1578 714 3208 NA 1320 1369 4602 NA
1558216800.0 123.1 321 NA NA NA 723 NA NA NA 1226 NA NA NA 1936 NA NA NA
1558216800.0 123.2 316 NA NA NA 684 NA NA NA 1256 NA NA NA 1987 NA NA NA
1558216800.0 123.3 226 NA NA NA 684 NA NA NA 1050 NA NA NA 1633 NA NA NA
1558216800.0 124.1 275 NA NA NA 684 NA NA NA 1050 NA NA NA 1219 NA NA NA
1558216800.0 124.2 299 NA NA NA 672 NA NA NA 1144 NA NA NA 1814 NA NA NA
1558216800.0 124.4 281 NA NA NA 723 NA NA NA 1057 NA NA NA 1380 NA NA NA
1558216800.0 124.5 300 NA NA NA 672 NA NA NA 1066 NA NA NA 2063 NA NA NA
1558216800.0 124.6 225 NA NA NA 720 NA NA NA 1084 NA NA NA 1972 NA NA NA
1558216800.0 125.0 113 112 291 NA 210 582 424 NA 2065 471 1731 NA 1349 601 2130 NA
1558216800.0 128.0 67 88 281 NA 134 582 408 NA 1469 931 2610 NA 1674 1037 3261 NA
1558216800.0 129.0 65 108 276 NA 133 581 405 NA 553 421 1641 NA 1867 525 2233 NA
1558216800.0 1301.0 83 131 226 NA 165 589 341 NA 1312 392 1190 NA 1905 434 1457 NA
1558216800.0 1301.17 74 163 234 NA 144 590 390 NA 1393 540 1369 NA 1062 456 1980 NA
1558216800.0 1302.0 87 131 233 NA 183 588 369 NA 2846 618 1439 NA 2204 883 1853 NA
1558216800.0 1302.17 80 160 210 NA 152 546 375 NA 6410 1492 2686 NA 3108 1256 3650 NA
1558216800.0 1303.0 97 133 232 NA 176 543 355 NA 12309 1044 3134 NA 6646 856 3861 NA
1558216800.0 1303.17 87 175 249 NA 158 498 400 NA 12501 1069 2990 NA 6556 907 3797 NA
1558216800.0 1304.18 74 250 190 136 142 548 347 219 4324 2827 1287 1898 2996 4226 1328 2711
1558216800.0 1304.181 75 240 200 149 145 678 537 231 2004 1818 1015 1047 1381 2434 1188 2315
1558216800.0 1306.0 NA 126 330 0 NA 472 468 0 NA 1040 3352 1270 NA 1359 4676 1518
1558216800.0 1309.0 NA 138 351 0 NA 518 496 0 NA 1100 3538 1463 NA 1424 3854 2155
1558216800.0 1315.0 NA 130 328 0 NA 471 456 0 NA 994 3226 1327 NA 1445 4026 1833
1558216800.0 1316.0 NA 132 330 0 NA 607 496 0 NA 619 3261 1242 NA 809 4243 1538
1558216800.0 1317.0 NA 131 331 0 NA 563 461 0 NA 711 3498 1116 NA 974 5534 1346
1558216800.0 1318.0 NA 134 328 0 NA 563 471 0 NA 768 3386 1405 NA 986 5482 1969
1558216800.0 1319.0 NA 128 335 0 NA 563 490 0 NA 967 3088 1390 NA 1342 3602 2034
1558216800.0 132.0 109 98 276 NA 205 535 420 NA 4111 1151 3236 NA 3513 976 4411 NA
1558216800.0 1320.0 NA 134 344 0 NA 620 474 0 NA 711 2965 1212 NA 943 4062 1511
1558216800.0 1324.0 NA 140 354 0 NA 517 464 0 NA 1074 3044 1303 NA 1113 3557 1783
